NAME,STATE,AGE,POPEST2019_CIV
Alaska,AK,0,9978
Alaska,AK,1,10012
Alaska,AK,2,10186
Alaska,AK,3,10509
Alaska,AK,4,10395
Alaska,AK,5,10414
Alaska,AK,6,10303
Alaska,AK,7,10286
Alaska,AK,8,10436
Alaska,AK,9,10157
Alaska,AK,10,9976
Alaska,AK,11,10016
Alaska,AK,12,9887
Alaska,AK,13,9509
Alaska,AK,14,9678
Alaska,AK,15,9488
Alaska,AK,16,9410
Alaska,AK,17,9343
Alaska,AK,18,8518
Alaska,AK,19,7525
Alaska,AK,20,8088
Alaska,AK,21,8617
Alaska,AK,22,9132
Alaska,AK,23,9252
Alaska,AK,24,9900
Alaska,AK,25,10318
Alaska,AK,26,10693
Alaska,AK,27,11456
Alaska,AK,28,11576
Alaska,AK,29,11552
Alaska,AK,30,10946
Alaska,AK,31,10809
Alaska,AK,32,10460
Alaska,AK,33,10822
Alaska,AK,34,10799
Alaska,AK,35,10303
Alaska,AK,36,10452
Alaska,AK,37,9962
Alaska,AK,38,9667
Alaska,AK,39,9685
Alaska,AK,40,8865
Alaska,AK,41,8589
Alaska,AK,42,8533
Alaska,AK,43,7954
Alaska,AK,44,8295
Alaska,AK,45,7827
Alaska,AK,46,7962
Alaska,AK,47,8230
Alaska,AK,48,8696
Alaska,AK,49,9086
Alaska,AK,50,8428
Alaska,AK,51,8197
Alaska,AK,52,8330
Alaska,AK,53,8595
Alaska,AK,54,9128
Alaska,AK,55,9426
Alaska,AK,56,9493
Alaska,AK,57,9636
Alaska,AK,58,9731
Alaska,AK,59,9894
Alaska,AK,60,9373
Alaska,AK,61,9168
Alaska,AK,62,9161
Alaska,AK,63,8614
Alaska,AK,64,8800
Alaska,AK,65,8210
Alaska,AK,66,7734
Alaska,AK,67,7220
Alaska,AK,68,6655
Alaska,AK,69,6442
Alaska,AK,70,5978
Alaska,AK,71,5621
Alaska,AK,72,5482
Alaska,AK,73,4013
Alaska,AK,74,3945
Alaska,AK,75,3665
Alaska,AK,76,3459
Alaska,AK,77,2950
Alaska,AK,78,2677
Alaska,AK,79,2327
Alaska,AK,80,1971
Alaska,AK,81,1784
Alaska,AK,82,1586
Alaska,AK,83,1411
Alaska,AK,84,1277
Alaska,AK,85,7181
Alaska,AK,999,712114
Alabama,AL,0,56901
Alabama,AL,1,58290
Alabama,AL,2,59073
Alabama,AL,3,59799
Alabama,AL,4,60294
Alabama,AL,5,59568
Alabama,AL,6,58599
Alabama,AL,7,59537
Alabama,AL,8,60023
Alabama,AL,9,60241
Alabama,AL,10,60897
Alabama,AL,11,63083
Alabama,AL,12,62906
Alabama,AL,13,61883
Alabama,AL,14,61729
Alabama,AL,15,61740
Alabama,AL,16,61799
Alabama,AL,17,61924
Alabama,AL,18,62938
Alabama,AL,19,64125
Alabama,AL,20,63587
Alabama,AL,21,64201
Alabama,AL,22,63943
Alabama,AL,23,63719
Alabama,AL,24,63922
Alabama,AL,25,65079
Alabama,AL,26,65208
Alabama,AL,27,67027
Alabama,AL,28,69478
Alabama,AL,29,68758
Alabama,AL,30,64852
Alabama,AL,31,61469
Alabama,AL,32,59980
Alabama,AL,33,59615
Alabama,AL,34,60721
Alabama,AL,35,58941
Alabama,AL,36,59921
Alabama,AL,37,60346
Alabama,AL,38,60696
Alabama,AL,39,62200
Alabama,AL,40,58159
Alabama,AL,41,57993
Alabama,AL,42,57852
Alabama,AL,43,55498
Alabama,AL,44,58174
Alabama,AL,45,57008
Alabama,AL,46,58838
Alabama,AL,47,61959
Alabama,AL,48,65460
Alabama,AL,49,64750
Alabama,AL,50,60738
Alabama,AL,51,59494
Alabama,AL,52,59786
Alabama,AL,53,61321
