Ages,Feb,March,April,May,June,July,Aug
0-17,0.00,0.00,0.00,0.00,0.00,0.00,0.00
18-29,0.00,0.00,0.00,0.00,0.00,134598.70,143888819593234202624.00
30-39,0.00,0.00,NaN,NaN,15709.95,NaN,NaN
40-49,0.00,0.00,NaN,NaN,NaN,NaN,NaN
50-64,0.00,0.00,NaN,31.37,NaN,NaN,NaN
65-74,0.00,0.00,NaN,NaN,NaN,NaN,NaN
75-84,0.00,0.00,NaN,NaN,NaN,NaN,NaN
85-plus,0.00,0.00,NaN,38.47,NaN,NaN,49.38
0-17,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000
18-29,0.00000,0.00000,0.00000,0.00000,0.00000,13.90612,25593338383605152.00000
30-39,0.00000,0.00000,NaN,NaN,0.92943,NaN,NaN
40-49,0.00000,0.00000,NaN,NaN,NaN,NaN,NaN
50-64,0.00000,0.00000,NaN,0.00024,NaN,NaN,NaN
65-74,0.00000,0.00000,NaN,NaN,NaN,NaN,NaN
75-84,0.00000,0.00000,NaN,NaN,NaN,NaN,NaN
85-plus,0.00000,0.00000,NaN,0.00028,NaN,NaN,0.00265
Total vax,0,0,67221961,13518905,4568266,3017210,1862230
