Ages,Feb,March,April,May,June,July,Aug
0-17,0.00,0.00,NaN,NaN,NaN,NaN,NaN
18-29,0.00,0.00,NaN,NaN,NaN,NaN,NaN
30-39,0.00,0.00,NaN,NaN,NaN,NaN,NaN
40-49,0.00,0.00,NaN,NaN,NaN,NaN,NaN
50-64,0.00,0.00,NaN,NaN,NaN,NaN,NaN
65-74,0.00,0.00,-1.67,NaN,NaN,NaN,NaN
75-84,0.00,0.00,-2.07,NaN,NaN,NaN,NaN
85-plus,0.00,0.00,-0.01,NaN,NaN,NaN,NaN
0-17,0.00000,0.00000,NaN,NaN,NaN,NaN,NaN
18-29,0.00000,0.00000,NaN,NaN,NaN,NaN,NaN
30-39,0.00000,0.00000,NaN,NaN,NaN,NaN,NaN
40-49,0.00000,0.00000,NaN,NaN,NaN,NaN,NaN
50-64,0.00000,0.00000,NaN,NaN,NaN,NaN,NaN
65-74,0.00000,0.00000,-0.00000,NaN,NaN,NaN,NaN
75-84,0.00000,0.00000,-0.00000,NaN,NaN,NaN,NaN
85-plus,0.00000,0.00000,-0.00000,NaN,NaN,NaN,NaN
Total vax,0,0,68147585,13943786,4808878,3040857,1894314
