Ages,Feb,March,April,May,June,July,Aug
0-17,0.00,0.00,NaN,NaN,NaN,2.88,-0.22
18-29,0.00,0.00,NaN,-7.77,NaN,NaN,NaN
30-39,0.00,0.00,NaN,NaN,NaN,NaN,NaN
40-49,0.00,0.00,-3.90,NaN,NaN,NaN,NaN
50-64,0.00,0.00,NaN,NaN,NaN,NaN,NaN
65-74,0.00,0.00,-1.96,NaN,NaN,NaN,NaN
75-84,0.00,0.00,-0.15,NaN,NaN,NaN,NaN
85-plus,0.00,0.00,-0.07,20.44,NaN,NaN,NaN
0-17,0.00000,0.00000,NaN,NaN,NaN,0.00010,-0.00001
18-29,0.00000,0.00000,NaN,-0.00006,NaN,NaN,NaN
30-39,0.00000,0.00000,NaN,NaN,NaN,NaN,NaN
40-49,0.00000,0.00000,-0.00001,NaN,NaN,NaN,NaN
50-64,0.00000,0.00000,NaN,NaN,NaN,NaN,NaN
65-74,0.00000,0.00000,-0.00000,NaN,NaN,NaN,NaN
75-84,0.00000,0.00000,-0.00000,NaN,NaN,NaN,NaN
85-plus,0.00000,0.00000,-0.00000,0.00015,NaN,NaN,NaN
Total vax,0,0,68396146,13976806,4828493,3049434,1900683
