Ages,Feb,March,April,May,June,July,Aug
0-17,0.00,0.00,0.00,0.00,0.00,0.00,0.00
18-29,0.00,0.00,0.00,0.00,0.00,538443.01,-0.00
30-39,0.00,3943060579.01,NaN,NaN,28245.88,NaN,NaN
40-49,0.00,NaN,NaN,NaN,NaN,NaN,NaN
50-64,0.00,NaN,NaN,NaN,NaN,NaN,NaN
65-74,0.00,NaN,NaN,NaN,NaN,NaN,NaN
75-84,0.00,NaN,NaN,NaN,NaN,NaN,NaN
85-plus,0.00,NaN,NaN,NaN,NaN,NaN,NaN
0-17,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000
18-29,0.00000,0.00000,0.00000,0.00000,0.00000,8.15993,-0.00000
30-39,0.00000,20622.33829,NaN,NaN,0.22654,NaN,NaN
40-49,0.00000,NaN,NaN,NaN,NaN,NaN,NaN
50-64,0.00000,NaN,NaN,NaN,NaN,NaN,NaN
65-74,0.00000,NaN,NaN,NaN,NaN,NaN,NaN
75-84,0.00000,NaN,NaN,NaN,NaN,NaN,NaN
85-plus,0.00000,NaN,NaN,NaN,NaN,NaN,NaN
Total vax,0,55842027,88012465,50988886,29820472,17953482,24076736
