Ages,Feb,March,April,May,June,July,Aug
0-17,NaN,NaN,NaN,NaN,NaN,-2.41,-0.00
18-29,NaN,NaN,NaN,-9.67,NaN,0.52,NaN
30-39,NaN,NaN,NaN,NaN,NaN,NaN,-0.26
40-49,NaN,NaN,NaN,NaN,NaN,44.66,23.02
50-64,NaN,NaN,NaN,NaN,NaN,NaN,NaN
65-74,NaN,NaN,NaN,NaN,NaN,NaN,NaN
75-84,NaN,NaN,NaN,NaN,NaN,NaN,NaN
85-plus,NaN,NaN,-77.47,NaN,NaN,NaN,NaN
0-17,NaN,NaN,NaN,NaN,NaN,-0.00001,-0.00000
18-29,NaN,NaN,NaN,-0.00002,NaN,0.00000,NaN
30-39,NaN,NaN,NaN,NaN,NaN,NaN,-0.00000
40-49,NaN,NaN,NaN,NaN,NaN,0.00025,0.00009
50-64,NaN,NaN,NaN,NaN,NaN,NaN,NaN
65-74,NaN,NaN,NaN,NaN,NaN,NaN,NaN
75-84,NaN,NaN,NaN,NaN,NaN,NaN,NaN
85-plus,NaN,NaN,-0.00009,NaN,NaN,NaN,NaN
Total vax,45991745,76292536,89355727,52528423,31466525,18165654,24567988
