Ages,Feb,March,April,May,June,July,Aug
0-17,0.00,0.00,0.00,0.00,0.00,0.00,0.00
18-29,0.00,0.00,0.00,0.00,0.00,392355.18,-0.00
30-39,0.00,748457455.19,NaN,NaN,10147.66,NaN,NaN
40-49,0.00,NaN,NaN,NaN,NaN,NaN,NaN
50-64,0.00,NaN,NaN,NaN,NaN,NaN,NaN
65-74,0.00,NaN,NaN,NaN,NaN,NaN,NaN
75-84,0.00,NaN,NaN,NaN,NaN,NaN,NaN
85-plus,0.00,NaN,NaN,NaN,NaN,NaN,NaN
0-17,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000
18-29,0.00000,0.00000,0.00000,0.00000,0.00000,3.58913,-0.00000
30-39,0.00000,6982.79639,NaN,NaN,0.05165,NaN,NaN
40-49,0.00000,NaN,NaN,NaN,NaN,NaN,NaN
50-64,0.00000,NaN,NaN,NaN,NaN,NaN,NaN
65-74,0.00000,NaN,NaN,NaN,NaN,NaN,NaN
75-84,0.00000,NaN,NaN,NaN,NaN,NaN,NaN
85-plus,0.00000,NaN,NaN,NaN,NaN,NaN,NaN
Total vax,0,32741980,75054283,87317876,50371646,31056106,17756987
