Ages,Feb,March,April,May,June,July,Aug
0-17,NaN,NaN,NaN,NaN,NaN,-0.07,-0.00
18-29,NaN,NaN,NaN,-2.23,NaN,NaN,NaN
30-39,NaN,NaN,NaN,NaN,NaN,NaN,NaN
40-49,NaN,NaN,NaN,NaN,NaN,NaN,NaN
50-64,NaN,NaN,NaN,NaN,NaN,NaN,NaN
65-74,NaN,NaN,NaN,NaN,NaN,NaN,NaN
75-84,NaN,NaN,-10.62,NaN,NaN,NaN,NaN
85-plus,NaN,-0.96,-0.29,NaN,NaN,NaN,NaN
0-17,NaN,NaN,NaN,NaN,NaN,-0.00000,-0.00000
18-29,NaN,NaN,NaN,-0.00000,NaN,NaN,NaN
30-39,NaN,NaN,NaN,NaN,NaN,NaN,NaN
40-49,NaN,NaN,NaN,NaN,NaN,NaN,NaN
50-64,NaN,NaN,NaN,NaN,NaN,NaN,NaN
65-74,NaN,NaN,NaN,NaN,NaN,NaN,NaN
75-84,NaN,NaN,-0.00001,NaN,NaN,NaN,NaN
85-plus,NaN,-0.00000,-0.00000,NaN,NaN,NaN,NaN
Total vax,26512804,45991745,76292536,89355727,52528423,31466525,18165654
