Ages,Feb,March,April,May,June,July,Aug
0-17,0.00,0.00,0.00,0.00,0.00,0.00,0.00
18-29,0.00,0.00,14.03,0.00,5.66,-851.10,-231.07
30-39,0.00,0.00,NaN,NaN,-230.92,NaN,NaN
40-49,0.00,0.00,515.03,369.58,NaN,NaN,NaN
50-64,0.00,0.00,2945.94,2372.23,1195.77,NaN,NaN
65-74,0.00,0.00,3650.83,2169.86,1256.59,NaN,NaN
75-84,0.00,0.00,3240.64,2766.33,1232.21,NaN,NaN
85-plus,0.00,0.00,2574.89,1819.93,803.12,NaN,1839.86
0-17,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000
18-29,0.00000,0.00000,0.00014,0.00000,0.00060,-0.08793,-0.04110
30-39,0.00000,0.00000,NaN,NaN,-0.01366,NaN,NaN
40-49,0.00000,0.00000,0.00102,0.00338,NaN,NaN,NaN
50-64,0.00000,0.00000,0.00450,0.01782,0.02655,NaN,NaN
65-74,0.00000,0.00000,0.00549,0.01626,0.02754,NaN,NaN
75-84,0.00000,0.00000,0.00486,0.02037,0.02701,NaN,NaN
85-plus,0.00000,0.00000,0.00383,0.01346,0.01758,NaN,0.09880
Total vax,0,0,67221961,13518905,4568266,3017210,1862230
