Ages,Feb,March,April,May,June,July,Aug
0-17,0.00,0.00,NaN,NaN,NaN,530.22,984.23
18-29,0.00,0.00,NaN,1117.74,NaN,NaN,NaN
30-39,0.00,0.00,NaN,NaN,NaN,NaN,NaN
40-49,0.00,0.00,NaN,NaN,NaN,NaN,NaN
50-64,0.00,0.00,NaN,NaN,NaN,NaN,NaN
65-74,0.00,0.00,NaN,NaN,NaN,NaN,NaN
75-84,0.00,0.00,41316.18,NaN,NaN,NaN,NaN
85-plus,0.00,0.00,55443.25,13326.06,NaN,NaN,NaN
0-17,0.00000,0.00000,NaN,NaN,NaN,0.01766,0.05250
18-29,0.00000,0.00000,NaN,0.00812,NaN,NaN,NaN
30-39,0.00000,0.00000,NaN,NaN,NaN,NaN,NaN
40-49,0.00000,0.00000,NaN,NaN,NaN,NaN,NaN
50-64,0.00000,0.00000,NaN,NaN,NaN,NaN,NaN
65-74,0.00000,0.00000,NaN,NaN,NaN,NaN,NaN
75-84,0.00000,0.00000,0.06041,NaN,NaN,NaN,NaN
85-plus,0.00000,0.00000,0.08106,0.09534,NaN,NaN,NaN
Total vax,0,0,68396146,13976806,4828493,3049434,1900683
