Ages,Feb,March,April,May,June,July,Aug
0-17,0.00,0.00,0.00,0.00,0.00,0.00,0.00
18-29,0.00,0.00,14.35,0.00,4.95,-427.12,45883.25
30-39,0.00,88.08,NaN,NaN,-131.50,NaN,NaN
40-49,0.00,502.69,444.83,NaN,NaN,NaN,NaN
50-64,0.00,3408.57,2947.21,2549.16,1131.11,NaN,NaN
65-74,0.00,3838.38,3014.50,2026.71,1038.66,NaN,NaN
75-84,0.00,4744.10,2947.45,2262.35,938.32,NaN,NaN
85-plus,0.00,4311.31,2416.49,1507.23,649.74,555.58,1836.74
0-17,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000
18-29,0.00000,0.00000,0.00009,0.00000,0.00006,-0.00647,0.57663
30-39,0.00000,0.00046,NaN,NaN,-0.00105,NaN,NaN
40-49,0.00000,0.00160,0.00064,NaN,NaN,NaN,NaN
50-64,0.00000,0.00589,0.00342,0.00506,0.00389,NaN,NaN
65-74,0.00000,0.00624,0.00346,0.00402,0.00349,NaN,NaN
75-84,0.00000,0.00809,0.00338,0.00440,0.00315,NaN,NaN
85-plus,0.00000,0.00772,0.00275,0.00296,0.00218,0.00309,0.00763
Total vax,0,55842027,88012465,50988886,29820472,17953482,24076736
