Ages,Feb,March,April,May,June,July,Aug
0-17,NaN,NaN,NaN,NaN,NaN,723.64,NaN
18-29,NaN,NaN,NaN,1023.19,860.67,2138.61,NaN
30-39,NaN,NaN,NaN,NaN,1100.80,2422.32,2566.65
40-49,NaN,NaN,NaN,NaN,NaN,3067.03,3979.14
50-64,NaN,NaN,NaN,NaN,NaN,NaN,NaN
65-74,NaN,NaN,NaN,NaN,NaN,NaN,NaN
75-84,NaN,NaN,NaN,NaN,NaN,NaN,NaN
85-plus,NaN,NaN,18021.66,NaN,NaN,NaN,NaN
0-17,NaN,NaN,NaN,NaN,NaN,0.00404,NaN
18-29,NaN,NaN,NaN,0.00197,0.00275,0.01177,NaN
30-39,NaN,NaN,NaN,NaN,0.00350,0.01333,0.01045
40-49,NaN,NaN,NaN,NaN,NaN,0.01688,0.01620
50-64,NaN,NaN,NaN,NaN,NaN,NaN,NaN
65-74,NaN,NaN,NaN,NaN,NaN,NaN,NaN
75-84,NaN,NaN,NaN,NaN,NaN,NaN,NaN
85-plus,NaN,NaN,0.02017,NaN,NaN,NaN,NaN
Total vax,45991745,76292536,89355727,52528423,31466525,18165654,24567988
