Ages,Feb,March,April,May,June,July,Aug
0-17,0.00,0.00,0.00,0.00,0.00,0.00,0.00
18-29,0.00,0.00,14.71,0.00,4.83,-220.38,-570.69
30-39,0.00,90.16,NaN,NaN,-77.79,NaN,NaN
40-49,0.00,NaN,513.98,318.37,NaN,NaN,NaN
50-64,0.00,3651.79,3141.14,2943.22,855.76,NaN,NaN
65-74,0.00,3927.67,3506.37,2423.56,732.15,NaN,NaN
75-84,0.00,4900.60,3290.60,3213.01,661.34,NaN,NaN
85-plus,0.00,4539.87,2563.88,1875.98,568.89,NaN,1813.20
0-17,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000
18-29,0.00000,0.00000,0.00012,0.00000,0.00004,-0.00202,-0.00991
30-39,0.00000,0.00084,NaN,NaN,-0.00040,NaN,NaN
40-49,0.00000,NaN,0.00089,0.00045,NaN,NaN,NaN
50-64,0.00000,0.01072,0.00428,0.00342,0.00175,NaN,NaN
65-74,0.00000,0.01080,0.00472,0.00281,0.00146,NaN,NaN
75-84,0.00000,0.01432,0.00443,0.00368,0.00131,NaN,NaN
85-plus,0.00000,0.01387,0.00342,0.00215,0.00113,NaN,0.01021
Total vax,0,32741980,75054283,87317876,50371646,31056106,17756987
