Ages,Feb,March,April,May,June,July,Aug
0-17,NaN,NaN,NaN,NaN,NaN,NaN,NaN
18-29,NaN,NaN,NaN,NaN,NaN,NaN,NaN
30-39,NaN,NaN,NaN,NaN,NaN,1997.13,NaN
40-49,NaN,NaN,NaN,NaN,NaN,NaN,NaN
50-64,NaN,NaN,NaN,NaN,NaN,NaN,NaN
65-74,NaN,NaN,NaN,NaN,NaN,NaN,NaN
75-84,NaN,NaN,NaN,NaN,NaN,NaN,NaN
85-plus,12010.77,NaN,47847.02,NaN,NaN,NaN,NaN
0-17,NaN,NaN,NaN,NaN,NaN,NaN,NaN
18-29,NaN,NaN,NaN,NaN,NaN,NaN,NaN
30-39,NaN,NaN,NaN,NaN,NaN,0.01029,NaN
40-49,NaN,NaN,NaN,NaN,NaN,NaN,NaN
50-64,NaN,NaN,NaN,NaN,NaN,NaN,NaN
65-74,NaN,NaN,NaN,NaN,NaN,NaN,NaN
75-84,NaN,NaN,NaN,NaN,NaN,NaN,NaN
85-plus,0.04560,NaN,0.06298,NaN,NaN,NaN,NaN
Total vax,26337936,45729831,75966115,88979229,52294412,31344629,18090642
