Ages,Feb,March,April,May,June,July,Aug
0-17,NaN,NaN,NaN,NaN,NaN,647.76,1226.97
18-29,NaN,NaN,NaN,1354.55,NaN,NaN,NaN
30-39,NaN,NaN,NaN,NaN,NaN,NaN,NaN
40-49,NaN,NaN,NaN,NaN,NaN,NaN,NaN
50-64,NaN,NaN,NaN,NaN,NaN,NaN,NaN
65-74,NaN,NaN,NaN,NaN,NaN,NaN,NaN
75-84,NaN,NaN,NaN,NaN,NaN,NaN,NaN
85-plus,11613.29,13180.95,48186.09,NaN,NaN,NaN,NaN
0-17,NaN,NaN,NaN,NaN,NaN,0.00209,0.00683
18-29,NaN,NaN,NaN,0.00153,NaN,NaN,NaN
30-39,NaN,NaN,NaN,NaN,NaN,NaN,NaN
40-49,NaN,NaN,NaN,NaN,NaN,NaN,NaN
50-64,NaN,NaN,NaN,NaN,NaN,NaN,NaN
65-74,NaN,NaN,NaN,NaN,NaN,NaN,NaN
75-84,NaN,NaN,NaN,NaN,NaN,NaN,NaN
85-plus,0.04380,0.02866,0.06316,NaN,NaN,NaN,NaN
Total vax,26512804,45991745,76292536,89355727,52528423,31466525,18165654
