State,Cases Cum,Cases Change,Vax Cum,Vax Change,Y19 pop: ages 0-17,Y20: ages 0-17,Y21: ages 0-17,Y19 pop: ages 18-29,Y20: ages 18-29,Y21: ages 18-29,Y19 pop: ages 30-39,Y20: ages 30-39,Y21: ages 30-39,Y19 pop: ages 40-49,Y20: ages 40-49,Y21: ages 40-49,Y19 pop: ages 50-64,Y20: ages 50-64,Y21: ages 50-64,Y19 pop: ages 65-74,Y20: ages 65-74,Y21: ages 65-74,Y19 pop: ages 75-84,Y20: ages 75-84,Y21: ages 75-84,Y19 pop: ages 85-plus,Y20: ages 85-plus,Y21: ages 85-plus
AK,60768,4370,411529.00,143123.00,179983,0,0,116627,0,0,103905,NaN,0,84037,0,0,135974,NaN,NaN,61300,NaN,NaN,23107,0,NaN,7181,0,NaN
AL,527821,13298,1771979.00,823586.00,1088286,0,0,781985,0,NaN,608741,NaN,NaN,595691,NaN,17,964807,71,49,501447,87,52,256847,92,48,91543,80,42
AR,330609,8100,1209965.00,548393.00,700155,0,0,481913,NaN,NaN,381765,NaN,NaN,359653,NaN,NaN,565174,11,17,302829,NaN,21,161141,17,22,59912,21,12
AZ,842817,24371,3512579.00,1663320.00,1640226,0,NaN,1207963,NaN,NaN,942403,NaN,NaN,860579,13,15,1299286,54,56,751699,76,67,411197,114,53,145737,139,35
CA,3734843,82381,18604164.00,9498087.00,8894449,0,0,6670575,NaN,10,5697826,37,24,5005537,81,55,7249639,313,263,3386670,379,246,1701599,533,195,749846,669,187
CO,463685,33846,2746030.00,1333120.00,1259516,NaN,0,965867,NaN,NaN,867269,NaN,NaN,734178,21,13,1053553,89,46,522131,182,47,230360,234,55,89921,343,34
CT,312468,29842,1992899.00,961594.00,727440,0,0,563396,NaN,NaN,440410,16,NaN,432122,29,11,764770,236,41,352819,421,50,186095,645,40,91330,1105,45
DC,44656,3972,381345.00,183298.00,128168,0,0,153472,NaN,0,144342,NaN,NaN,82716,12,NaN,105529,50,21,50219,76,NaN,24882,61,10,12242,59,NaN
DE,96286,7439,473912.00,248538.00,203572,0,0,145814,NaN,0,122108,NaN,0,110069,NaN,NaN,199875,28,13,112858,41,19,55794,52,19,20254,60,18
FL,2030993,151151,9781739.00,4733779.00,4229919,0,0,3124914,NaN,11,2694793,15,23,2596575,45,83,4266301,171,303,2465369,298,382,1450514,393,394,581454,386,299
GA,1060973,52313,3950645.00,1878017.00,2503664,0,0,1745979,NaN,NaN,1414834,13,15,1379326,34,23,1993652,204,143,926001,265,119,439884,308,149,151069,255,79
HI,29888,2389,717790.00,328146.00,299867,0,NaN,193859,NaN,0,181734,0,0,164618,0,NaN,262063,NaN,NaN,152092,NaN,NaN,74688,NaN,0,41668,NaN,NaN
IA,351795,15148,1567904.00,833059.00,726841,0,0,519211,NaN,NaN,393648,NaN,NaN,360764,NaN,NaN,599851,29,22,311447,36,19,162833,36,38,78674,60,29
ID,180897,9435,766703.00,362453.00,448201,0,0,284181,0,NaN,231897,0,0,211310,0,NaN,317270,NaN,16,175866,10,22,85030,18,22,29774,25,22
IL,1248111,60272,6073419.00,3166864.00,2817739,0,NaN,2034826,15,NaN,1705429,38,22,1585079,86,33,2457804,392,193,1176033,523,169,600230,667,169,266969,727,134
IN,689172,26021,2840511.00,1225362.00,1567974,NaN,0,1123556,NaN,NaN,852163,NaN,NaN,814906,19,16,1285037,139,67,636737,250,72,317937,330,72,131069,393,56
KS,302372,8070,1311354.00,690415.00,700250,0,0,476935,0,0,371605,NaN,NaN,331246,NaN,NaN,535053,19,15,272236,20,30,137573,27,14,65678,57,16
KY,431938,19154,2142945.00,1096110.00,1002871,0,0,713788,0,NaN,553681,NaN,NaN,549093,NaN,NaN,880890,35,49,447876,52,62,220820,61,68,81868,91,39
LA,445469,14965,2003199.00,926623.00,1087630,NaN,0,745828,NaN,NaN,632970,25,NaN,542194,49,13,883222,258,51,442534,363,46,216431,494,48,82057,434,16
MA,638339,55796,3685186.00,1881658.00,1352799,0,NaN,1193244,NaN,NaN,932753,12,NaN,831850,37,10,1407593,301,64,673305,583,67,336504,1115,57,159523,1882,60
MD,414385,31215,2882170.00,1518025.00,1334687,0,0,924743,NaN,NaN,815155,19,11,749963,31,25,1226685,181,152,561582,252,128,278421,368,118,119393,419,95
ME,51191,6246,715036.00,381027.00,248842,0,0,187477,0,NaN,160399,0,0,157945,NaN,NaN,302917,NaN,12,169079,10,16,82386,17,13,33800,19,10
MI,805607,115213,4514072.00,2156813.00,2143933,NaN,NaN,1642153,12,18,1211485,29,47,1178655,111,93,2041521,542,431,1037580,894,434,514685,982,412,213136,1058,279
MN,521667,36437,2800651.00,1371020.00,1303157,0,0,876402,0,NaN,771660,NaN,NaN,665072,NaN,12,1100821,37,67,531059,66,57,266713,115,70,122610,174,68
MO,568684,16850,2576981.00,1201954.00,1370506,0,0,974452,NaN,0,792965,NaN,NaN,718659,NaN,NaN,1199938,73,52,610165,106,49,318341,124,57,133531,146,47
MS,306446,9301,1160150.00,523034.00,698580,0,0,482199,NaN,0,371831,NaN,NaN,356990,NaN,NaN,565800,60,33,288955,78,43,145440,70,49,52298,77,32
MT,104725,4722,534273.00,249594.00,228588,0,0,167165,0,0,134453,0,NaN,119209,0,NaN,209365,NaN,NaN,124631,NaN,NaN,58951,NaN,12,22855,NaN,10
NC,918500,52686,4781372.00,2255793.00,2300691,0,NaN,1658593,NaN,NaN,1321108,NaN,11,1322397,11,22,2036727,48,101,1046508,95,100,515192,148,95,189394,142,69
ND,103460,3503,419484.00,180899.00,180170,0,0,138345,0,NaN,103251,0,0,79951,NaN,NaN,133325,NaN,NaN,66664,NaN,11,34368,NaN,NaN,18813,NaN,10
NE,210026,8550,966534.00,490219.00,476074,0,0,315685,0,NaN,253372,NaN,NaN,220941,NaN,NaN,349273,14,17,178908,17,13,90492,22,13,43058,21,16
NH,84539,8951,707655.00,382849.00,255253,0,0,210573,NaN,0,166319,0,0,161091,NaN,NaN,311306,NaN,NaN,152669,10,10,70954,21,14,30241,44,NaN
NJ,914422,121926,4523995.00,2427497.00,1938566,0,NaN,1328189,34,NaN,1149837,106,13,1141316,299,41,1839353,1409,260,832866,1705,259,439565,2391,219,203104,3055,226
NM,191945,6648,1281047.00,569435.00,475838,0,0,334664,0,NaN,270263,11,NaN,235720,NaN,NaN,391083,22,25,224483,28,13,111714,33,12,41409,60,12
NV,304112,10132,1374197.00,659076.00,692639,0,0,473875,NaN,NaN,434843,NaN,NaN,394562,12,12,577438,43,41,303363,61,38,147793,66,36,44816,43,20
NY,1887021,231001,9393484.00,5037940.00,4028289,NaN,NaN,3212532,80,NaN,2666603,281,27,2353293,771,78,3871754,3976,438,1859922,5111,449,976223,5856,481,460001,6103,482
OH,1020041,51167,5400664.00,2739820.00,2578019,0,0,1858594,NaN,NaN,1473504,NaN,15,1385682,18,18,2338222,118,155,1189243,218,160,600805,323,161,256272,379,150
OK,442611,9173,1975056.00,856007.00,952187,NaN,NaN,648315,NaN,NaN,523317,NaN,NaN,461950,NaN,15,716628,27,31,368050,59,35,192919,54,44,74163,60,32
OR,165524,9737,1893672.00,869617.00,866562,0,0,666600,0,NaN,596238,0,0,532578,NaN,NaN,787120,14,24,464598,26,29,216944,28,28,84538,34,31
PA,1035371,95871,6201769.00,3366431.00,2634613,NaN,NaN,2001847,NaN,NaN,1636740,14,20,1494173,51,51,2634952,396,239,1354093,649,320,707157,922,306,332112,1462,302
PR,109569,8393,1114680.00,560016.00,NaN,0,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,23,NaN,12,57,NaN,19,36,NaN,25,45,NaN,16,25
RI,138137,11537,566515.00,297003.00,204484,0,0,183358,NaN,0,137063,NaN,NaN,122312,NaN,NaN,220667,33,13,106159,69,10,53375,90,12,27512,153,14
SC,554660,30098,2191473.00,1074662.00,1110891,0,NaN,791400,NaN,NaN,640964,NaN,12,615851,NaN,24,1011097,38,91,570600,60,86,275013,80,75,91410,51,36
SD,117989,5519,505081.00,223006.00,217101,0,NaN,138420,0,0,112891,0,NaN,95255,NaN,NaN,165658,NaN,NaN,89216,NaN,10,41670,NaN,10,20985,NaN,NaN
TN,813526,35375,2725411.00,1330752.00,1510050,0,0,1097639,0,NaN,882026,NaN,10,847903,NaN,33,1327566,33,125,681396,41,145,340228,59,118,121769,42,66
TX,2786642,138797,11950969.00,6378473.00,7399719,NaN,NaN,4914742,NaN,18,4138794,24,44,3719487,42,113,4974261,175,402,2245028,210,391,1080742,241,268,408459,233,203
UT,386128,14636,1380946.00,692440.00,931184,0,0,611382,0,0,449773,NaN,NaN,388390,0,NaN,454519,11,18,219466,11,15,107832,NaN,15,38574,12,NaN
VA,622339,43780,4140842.00,2003916.00,1860793,0,0,1342662,NaN,NaN,1132257,NaN,NaN,1061185,21,28,1664441,114,122,802291,147,110,402130,205,109,154485,262,96
VT,18226,4086,333676.00,165626.00,114005,0,0,103668,0,0,73235,NaN,0,71440,NaN,0,136030,NaN,NaN,75206,NaN,NaN,35396,11,NaN,14437,11,NaN
WA,365630,25042,3659886.00,1859856.00,1663059,0,NaN,1219606,NaN,NaN,1114022,NaN,NaN,941020,15,11,1415269,69,57,735524,111,65,339621,148,46,134578,201,42
WI,636908,19208,2969294.00,1468371.00,1266596,0,NaN,924730,NaN,0,733793,NaN,NaN,681982,NaN,NaN,1195088,47,35,594748,67,44,294186,93,48,128309,89,51
WV,142233,10185,896388.00,362335.00,359567,0,0,265435,NaN,0,208129,0,0,221282,0,14,369752,NaN,30,217323,10,37,109552,14,29,40136,22,26
WY,56389,1918,270226.00,113485.00,133734,0,0,88604,0,0,77322,0,0,66723,0,0,110103,NaN,NaN,60590,NaN,NaN,27598,NaN,NaN,10991,0,NaN
