State,Cases Cum,Cases Change,Vax Cum,Vax Change,Y19 pop: ages 0-17,Y20: ages 0-17,Y21: ages 0-17,Y19 pop: ages 18-29,Y20: ages 18-29,Y21: ages 18-29,Y19 pop: ages 30-39,Y20: ages 30-39,Y21: ages 30-39,Y19 pop: ages 40-49,Y20: ages 40-49,Y21: ages 40-49,Y19 pop: ages 50-64,Y20: ages 50-64,Y21: ages 50-64,Y19 pop: ages 65-74,Y20: ages 65-74,Y21: ages 65-74,Y19 pop: ages 75-84,Y20: ages 75-84,Y21: ages 75-84,Y19 pop: ages 85-plus,Y20: ages 85-plus,Y21: ages 85-plus
AK,72753,4325,697509.00,37274.00,179983,0,0,116627,0,0,103905,0,NaN,84037,NaN,NaN,135974,NaN,NaN,61300,NaN,NaN,23107,NaN,11,7181,NaN,NaN
AL,595659,41737,3603940.00,238544.00,1088286,0,NaN,781985,NaN,17,608741,11,40,595691,39,110,964807,174,316,501447,233,272,256847,255,220,91543,247,111
AR,388436,38351,2455566.00,214949.00,700155,0,NaN,481913,0,NaN,381765,NaN,31,359653,15,68,565174,68,223,302829,93,203,161141,115,154,59912,113,101
AZ,929541,34194,7113311.00,344718.00,1640226,0,NaN,1207963,NaN,NaN,942403,28,36,860579,51,54,1299286,203,170,751699,244,143,411197,235,115,145737,173,62
CA,4066084,193031,45274447.00,2502762.00,8894449,NaN,NaN,6670575,26,27,5697826,64,119,5005537,175,201,7249639,785,590,3386670,833,461,1701599,890,400,749846,977,353
CO,576548,18227,6484050.00,280506.00,1259516,0,NaN,965867,NaN,0,867269,NaN,NaN,734178,NaN,18,1053553,18,40,522131,19,46,230360,40,65,89921,40,59
CT,355163,5776,4599836.00,185724.00,727440,0,0,563396,0,NaN,440410,0,0,432122,NaN,NaN,764770,NaN,NaN,352819,NaN,NaN,186095,NaN,NaN,91330,NaN,NaN
DC,50606,1244,902782.00,37738.00,128168,0,0,153472,NaN,0,144342,NaN,0,82716,NaN,NaN,105529,13,NaN,50219,NaN,NaN,24882,NaN,NaN,12242,NaN,0
DE,111563,1793,1092299.00,50917.00,203572,0,0,145814,0,0,122108,0,NaN,110069,NaN,NaN,199875,NaN,NaN,112858,NaN,NaN,55794,NaN,11,20254,NaN,12
FL,2641923,303126,22626694.00,1513604.00,4229919,NaN,10,3124914,16,96,2694793,34,238,2596575,130,610,4266301,697,1952,2465369,1087,1742,1450514,1394,1702,581454,1426,1385
GA,1187107,52014,8942038.00,496354.00,2503664,NaN,NaN,1745979,NaN,24,1414834,21,52,1379326,72,117,1993652,358,402,926001,457,304,439884,489,249,151069,404,174
HI,41090,4655,1720923.00,40707.00,299867,0,0,193859,0,NaN,181734,NaN,NaN,164618,NaN,NaN,262063,19,17,152092,15,20,74688,13,16,41668,24,12
IA,380671,6662,3141321.00,101980.00,726841,0,0,519211,0,NaN,393648,NaN,NaN,360764,NaN,NaN,599851,36,29,311447,37,29,162833,82,37,78674,112,26
ID,201062,5973,1376586.00,50885.00,448201,0,0,284181,0,NaN,231897,0,NaN,211310,NaN,NaN,317270,16,33,175866,33,36,85030,52,52,29774,72,31
IL,1423349,31153,13682875.00,680843.00,2817739,0,NaN,2034826,NaN,NaN,1705429,NaN,17,1585079,19,31,2457804,56,120,1176033,94,151,600230,131,136,266969,179,125
IN,773163,18846,6084496.00,484162.00,1567974,0,0,1123556,NaN,NaN,852163,NaN,10,814906,10,26,1285037,46,81,636737,91,84,317937,114,109,131069,123,83
KS,334067,15757,2709869.00,218157.00,700250,0,0,476935,NaN,NaN,371605,NaN,NaN,331246,NaN,26,535053,30,89,272236,35,97,137573,55,58,65678,54,64
KY,486781,21997,4210049.00,207106.00,1002871,0,0,713788,0,NaN,553681,NaN,NaN,549093,NaN,20,880890,45,96,447876,78,103,220820,95,112,81868,78,49
LA,549083,67048,3664260.00,284039.00,1087630,0,0,745828,NaN,NaN,632970,NaN,29,542194,23,54,883222,146,159,442534,233,125,216431,267,116,82057,207,71
MA,721182,11133,9153642.00,295280.00,1352799,0,0,1193244,0,NaN,932753,NaN,NaN,831850,NaN,NaN,1407593,NaN,23,673305,14,29,336504,32,30,159523,62,34
MD,469095,6656,7219094.00,327750.00,1334687,0,NaN,924743,NaN,NaN,815155,NaN,11,749963,11,12,1226685,46,36,561582,57,40,278421,72,34,119393,84,29
ME,70590,1521,1666728.00,51478.00,248842,0,0,187477,0,0,160399,0,0,157945,0,0,302917,0,NaN,169079,NaN,12,82386,NaN,NaN,33800,NaN,NaN
MI,1016694,13478,9814438.00,375791.00,2143933,0,0,1642153,0,NaN,1211485,NaN,NaN,1178655,NaN,15,2041521,30,56,1037580,55,84,514685,74,68,213136,77,66
MN,613115,7667,6093791.00,209721.00,1303157,0,0,876402,NaN,0,771660,NaN,0,665072,NaN,NaN,1100821,29,30,531059,47,31,266713,56,35,122610,72,25
