State,Cases Cum,Cases Change,Vax Cum,Vax Change,Y19 pop: ages 0-17,Y20: ages 0-17,Y21: ages 0-17,Y19 pop: ages 18-29,Y20: ages 18-29,Y21: ages 18-29,Y19 pop: ages 30-39,Y20: ages 30-39,Y21: ages 30-39,Y19 pop: ages 40-49,Y20: ages 40-49,Y21: ages 40-49,Y19 pop: ages 50-64,Y20: ages 50-64,Y21: ages 50-64,Y19 pop: ages 65-74,Y20: ages 65-74,Y21: ages 65-74,Y19 pop: ages 75-84,Y20: ages 75-84,Y21: ages 75-84,Y19 pop: ages 85-plus,Y20: ages 85-plus,Y21: ages 85-plus
AK,52827,6586,122020.00,105516.00,179983,0,0,116627,0,NaN,103905,0,0,84037,0,0,135974,0,NaN,61300,0,NaN,23107,0,NaN,7181,0,NaN
AL,485579,94397,358280.00,322092.00,1088286,0,0,781985,0,NaN,608741,0,10,595691,0,27,964807,0,187,501447,0,298,256847,0,285,91543,NaN,153
AR,296494,67052,311230.00,273693.00,700155,0,0,481913,0,NaN,381765,0,NaN,359653,0,20,565174,0,71,302829,0,127,161141,0,147,59912,0,100
AZ,762593,231971,620608.00,567956.00,1640226,0,NaN,1207963,0,12,942403,0,22,860579,0,54,1299286,0,303,751699,0,458,411197,0,467,145737,0,305
CA,3465184,902645,3453284.00,3078787.00,8894449,0,NaN,6670575,0,38,5697826,0,112,5005537,0,320,7249639,NaN,1789,3386670,NaN,2016,1701599,0,1784,749846,0,1620
CO,397063,59902,589787.00,495036.00,1259516,0,0,965867,0,NaN,867269,0,NaN,734178,0,NaN,1053553,0,49,522131,0,73,230360,0,86,89921,0,110
CT,253954,68246,449253.00,381183.00,727440,0,0,563396,0,NaN,440410,0,NaN,432122,0,12,764770,0,70,352819,0,90,186095,0,128,91330,0,175
DC,37008,7756,82519.00,69352.00,128168,0,0,153472,0,NaN,144342,0,0,82716,0,NaN,105529,0,29,50219,0,36,24882,0,27,12242,0,21
DE,80037,20367,102697.00,91631.00,203572,0,NaN,145814,0,0,122108,0,0,110069,0,NaN,199875,0,16,112858,0,32,55794,0,50,20254,0,44
FL,1703440,375100,2005378.00,1767569.00,4229919,0,NaN,3124914,0,10,2694793,0,20,2596575,0,73,4266301,0,468,2465369,0,680,1450514,0,1014,581454,0,915
