State,Cases Cum,Cases Change,Vax Cum,Vax Change,Y19 pop: ages 0-17,Y20: ages 0-17,Y21: ages 0-17,Y19 pop: ages 18-29,Y20: ages 18-29,Y21: ages 18-29,Y19 pop: ages 30-39,Y20: ages 30-39,Y21: ages 30-39,Y19 pop: ages 40-49,Y20: ages 40-49,Y21: ages 40-49,Y19 pop: ages 50-64,Y20: ages 50-64,Y21: ages 50-64,Y19 pop: ages 65-74,Y20: ages 65-74,Y21: ages 65-74,Y19 pop: ages 75-84,Y20: ages 75-84,Y21: ages 75-84,Y19 pop: ages 85-plus,Y20: ages 85-plus,Y21: ages 85-plus
AK,68428,921,660235.00,47543.00,179983,0,0,116627,0,0,103905,0,0,84037,NaN,NaN,135974,NaN,NaN,61300,NaN,NaN,23107,NaN,NaN,7181,NaN,NaN
AL,553922,5506,3365396.00,343120.00,1088286,0,0,781985,NaN,NaN,608741,15,NaN,595691,27,22,964807,157,71,501447,211,61,256847,227,48,91543,238,29
AR,350085,8635,2240617.00,159350.00,700155,0,NaN,481913,0,NaN,381765,NaN,11,359653,11,28,565174,58,126,302829,62,92,161141,71,85,59912,68,53
AZ,895347,13893,6768593.00,791927.00,1640226,0,0,1207963,22,NaN,942403,60,15,860579,102,21,1299286,430,78,751699,505,64,411197,545,56,145737,437,43
CA,3873053,33634,42771685.00,4298956.00,8894449,NaN,0,6670575,42,17,5697826,90,35,5005537,227,64,7249639,815,214,3386670,912,153,1701599,866,147,749846,929,128
CO,558321,14740,6203544.00,580487.00,1259516,NaN,0,965867,0,0,867269,NaN,NaN,734178,NaN,NaN,1053553,14,54,522131,35,43,230360,36,46,89921,54,40
CT,349387,1824,4414112.00,369492.00,727440,0,0,563396,0,0,440410,0,NaN,432122,NaN,NaN,764770,14,NaN,352819,NaN,NaN,186095,18,NaN,91330,36,NaN
DC,49362,362,865044.00,74353.00,128168,0,0,153472,NaN,0,144342,NaN,NaN,82716,NaN,NaN,105529,17,NaN,50219,NaN,NaN,24882,NaN,NaN,12242,NaN,0
DE,109770,877,1041382.00,97702.00,203572,0,0,145814,NaN,0,122108,0,0,110069,NaN,NaN,199875,NaN,NaN,112858,12,NaN,55794,11,NaN,20254,NaN,NaN
FL,2338797,54333,21113090.00,2291793.00,4229919,NaN,NaN,3124914,23,33,2694793,62,62,2596575,157,145,4266301,731,527,2465369,1029,429,1450514,1461,374,581454,1513,353
GA,1135093,11013,8445684.00,835029.00,2503664,NaN,0,1745979,14,NaN,1414834,36,NaN,1379326,67,19,1993652,264,82,926001,318,67,439884,337,65,151069,297,45
HI,36435,1345,1680216.00,88020.00,299867,0,0,193859,0,0,181734,0,0,164618,NaN,NaN,262063,0,NaN,152092,NaN,NaN,74688,0,NaN,41668,NaN,NaN
IA,374009,2536,3039341.00,188452.00,726841,0,0,519211,0,0,393648,NaN,NaN,360764,NaN,NaN,599851,25,14,311447,33,NaN,162833,43,17,78674,68,14
ID,195089,2784,1325701.00,85926.00,448201,0,0,284181,0,0,231897,NaN,NaN,211310,NaN,NaN,317270,14,10,175866,23,10,85030,42,17,29774,44,13
