State,Cases Cum,Cases Change,Vax Cum,Vax Change,Y19 pop: ages 0-17,Y20: ages 0-17,Y21: ages 0-17,Y19 pop: ages 18-29,Y20: ages 18-29,Y21: ages 18-29,Y19 pop: ages 30-39,Y20: ages 30-39,Y21: ages 30-39,Y19 pop: ages 40-49,Y20: ages 40-49,Y21: ages 40-49,Y19 pop: ages 50-64,Y20: ages 50-64,Y21: ages 50-64,Y19 pop: ages 65-74,Y20: ages 65-74,Y21: ages 65-74,Y19 pop: ages 75-84,Y20: ages 75-84,Y21: ages 75-84,Y19 pop: ages 85-plus,Y20: ages 85-plus,Y21: ages 85-plus
AK,67507,2009,612692.00,52030.00,179983,0,0,116627,0,0,103905,0,NaN,84037,0,0,135974,0,0,61300,0,0,23107,NaN,0,7181,0,NaN
AL,548416,8394,3022276.00,404871.00,1088286,NaN,0,781985,0,0,608741,10,NaN,595691,18,NaN,964807,79,31,501447,108,32,256847,105,35,91543,78,19
AR,341450,5482,2081267.00,277472.00,700155,0,0,481913,NaN,NaN,381765,NaN,NaN,359653,13,12,565174,34,33,302829,23,35,161141,37,21,59912,52,15
AZ,881454,17883,5976666.00,852854.00,1640226,NaN,0,1207963,11,NaN,942403,24,NaN,860579,54,13,1299286,187,40,751699,183,50,411197,237,43,145737,202,23
CA,3839419,38810,38472729.00,7651894.00,8894449,0,0,6670575,15,NaN,5697826,47,20,5005537,93,33,7249639,415,133,3386670,435,90,1701599,484,79,749846,568,80
CO,543581,30777,5623057.00,1116718.00,1259516,0,0,965867,0,NaN,867269,NaN,0,734178,NaN,10,1053553,39,35,522131,28,61,230360,54,53,89921,57,47
CT,347563,7894,4044620.00,780294.00,727440,0,0,563396,0,0,440410,NaN,0,432122,NaN,NaN,764770,25,NaN,352819,44,NaN,186095,89,NaN,91330,122,NaN
DC,49000,1252,790691.00,181981.00,128168,NaN,0,153472,NaN,0,144342,NaN,NaN,82716,10,NaN,105529,35,NaN,50219,32,NaN,24882,21,0,12242,13,NaN
DE,108893,3351,943680.00,172385.00,203572,0,0,145814,0,0,122108,NaN,0,110069,NaN,NaN,199875,NaN,NaN,112858,15,NaN,55794,25,NaN,20254,24,NaN
FL,2284464,84670,18821297.00,3333192.00,4229919,NaN,NaN,3124914,NaN,NaN,2694793,14,16,2596575,32,48,4266301,142,201,2465369,206,221,1450514,266,198,581454,414,139
GA,1124080,22593,7610655.00,1223701.00,2503664,0,0,1745979,NaN,0,1414834,NaN,NaN,1379326,27,13,1993652,89,70,926001,106,57,439884,142,39,151069,145,33
HI,35090,2208,1592196.00,352376.00,299867,0,0,193859,0,0,181734,0,0,164618,0,NaN,262063,0,NaN,152092,0,NaN,74688,0,NaN,41668,NaN,0
