State,Cases Cum,Cases Change,Vax Cum,Vax Change,Y19 pop: ages 0-17,Y20: ages 0-17,Y21: ages 0-17,Y19 pop: ages 18-29,Y20: ages 18-29,Y21: ages 18-29,Y19 pop: ages 30-39,Y20: ages 30-39,Y21: ages 30-39,Y19 pop: ages 40-49,Y20: ages 40-49,Y21: ages 40-49,Y19 pop: ages 50-64,Y20: ages 50-64,Y21: ages 50-64,Y19 pop: ages 65-74,Y20: ages 65-74,Y21: ages 65-74,Y19 pop: ages 75-84,Y20: ages 75-84,Y21: ages 75-84,Y19 pop: ages 85-plus,Y20: ages 85-plus,Y21: ages 85-plus
AK,56398,3571,268406.00,146386.00,179983,0,0,116627,0,0,103905,0,NaN,84037,0,NaN,135974,NaN,NaN,61300,NaN,NaN,23107,0,NaN,7181,0,NaN
AL,514523,28944,948393.00,590113.00,1088286,0,0,781985,0,NaN,608741,NaN,NaN,595691,NaN,15,964807,12,77,501447,14,116,256847,NaN,112,91543,10,60
AR,322509,26015,661572.00,350342.00,700155,0,0,481913,0,NaN,381765,0,NaN,359653,NaN,NaN,565174,NaN,45,302829,NaN,58,161141,NaN,44,59912,NaN,37
AZ,818446,55853,1849259.00,1228651.00,1640226,NaN,NaN,1207963,NaN,NaN,942403,0,NaN,860579,NaN,19,1299286,18,95,751699,14,135,411197,17,133,145737,NaN,119
CA,3652462,187278,9106077.00,5652793.00,8894449,0,NaN,6670575,NaN,18,5697826,14,40,5005537,13,127,7249639,44,595,3386670,68,575,1701599,73,536,749846,64,426
CO,429839,32776,1412910.00,823123.00,1259516,0,0,965867,0,NaN,867269,0,NaN,734178,NaN,11,1053553,15,42,522131,20,60,230360,39,41,89921,29,53
CT,282626,28672,1031305.00,582052.00,727440,NaN,NaN,563396,0,0,440410,NaN,NaN,432122,NaN,NaN,764770,10,47,352819,19,66,186095,34,60,91330,55,59
DC,40684,3676,198047.00,115528.00,128168,0,0,153472,0,NaN,144342,0,0,82716,0,NaN,105529,NaN,18,50219,NaN,22,24882,0,12,12242,0,NaN
DE,88847,8810,225374.00,122677.00,203572,0,0,145814,0,0,122108,0,NaN,110069,0,NaN,199875,0,11,112858,NaN,19,55794,NaN,27,20254,NaN,11
FL,1879842,176402,5047960.00,3042582.00,4229919,0,NaN,3124914,NaN,12,2694793,NaN,26,2596575,NaN,58,4266301,21,345,2465369,51,418,1450514,59,537,581454,49,424
GA,1008660,96181,2072628.00,1142111.00,2503664,0,0,1745979,NaN,NaN,1414834,NaN,15,1379326,14,38,1993652,40,170,926001,61,221,439884,60,211,151069,37,103
HI,27499,1629,389644.00,253808.00,299867,0,0,193859,0,0,181734,0,NaN,164618,0,0,262063,0,NaN,152092,0,NaN,74688,NaN,NaN,41668,0,NaN
IA,336647,16833,734845.00,477377.00,726841,0,0,519211,0,0,393648,0,0,360764,0,NaN,599851,NaN,24,311447,NaN,25,162833,NaN,48,78674,NaN,53
ID,171462,8297,404250.00,279873.00,448201,0,0,284181,0,0,231897,0,NaN,211310,0,NaN,317270,NaN,11,175866,NaN,17,85030,NaN,24,29774,NaN,23
IL,1187839,59226,2906555.00,1851741.00,2817739,NaN,NaN,2034826,NaN,NaN,1705429,NaN,10,1585079,10,26,2457804,43,101,1176033,56,127,600230,45,150,266969,29,131
IN,663151,34163,1615149.00,1007964.00,1567974,0,NaN,1123556,NaN,0,852163,NaN,NaN,814906,NaN,NaN,1285037,21,67,636737,29,81,317937,40,94,131069,27,68
KS,294302,17634,620939.00,394044.00,700250,0,0,476935,0,NaN,371605,0,NaN,331246,NaN,NaN,535053,0,22,272236,NaN,37,137573,NaN,39,65678,NaN,25
KY,412784,37598,1046835.00,631290.00,1002871,0,0,713788,0,0,553681,NaN,NaN,549093,0,NaN,880890,NaN,74,447876,NaN,104,220820,NaN,122,81868,NaN,75
LA,430504,28913,1076576.00,613397.00,1087630,NaN,0,745828,NaN,NaN,632970,NaN,NaN,542194,25,16,883222,98,80,442534,70,90,216431,117,85,82057,76,54
MA,582543,56120,1803528.00,1194581.00,1352799,0,NaN,1193244,0,NaN,932753,NaN,10,831850,NaN,NaN,1407593,16,74,673305,22,98,336504,39,106,159523,47,107
MD,383170,26629,1364145.00,835844.00,1334687,0,0,924743,0,NaN,815155,NaN,NaN,749963,NaN,23,1226685,11,125,561582,12,118,278421,13,106,119393,NaN,106
ME,44945,4986,334009.00,188223.00,248842,0,0,187477,0,0,160399,0,0,157945,0,NaN,302917,0,NaN,169079,NaN,NaN,82386,0,17,33800,NaN,12
