State,Cases Cum,Cases Change,Vax Cum,Vax Change,Y19 pop: ages 0-17,Y20: ages 0-17,Y21: ages 0-17,Y19 pop: ages 18-29,Y20: ages 18-29,Y21: ages 18-29,Y19 pop: ages 30-39,Y20: ages 30-39,Y21: ages 30-39,Y19 pop: ages 40-49,Y20: ages 40-49,Y21: ages 40-49,Y19 pop: ages 50-64,Y20: ages 50-64,Y21: ages 50-64,Y19 pop: ages 65-74,Y20: ages 65-74,Y21: ages 65-74,Y19 pop: ages 75-84,Y20: ages 75-84,Y21: ages 75-84,Y19 pop: ages 85-plus,Y20: ages 85-plus,Y21: ages 85-plus
AK,65498,4730,560662.00,149133.00,179983,0,0,116627,0,NaN,103905,0,0,84037,0,0,135974,0,NaN,61300,0,NaN,23107,0,NaN,7181,NaN,NaN
AL,540022,12201,2617405.00,845426.00,1088286,0,0,781985,NaN,NaN,608741,NaN,NaN,595691,16,18,964807,67,52,501447,100,68,256847,109,38,91543,129,27
AR,335968,5359,1803795.00,593830.00,700155,0,0,481913,NaN,NaN,381765,0,NaN,359653,NaN,NaN,565174,10,25,302829,19,23,161141,22,24,59912,20,12
AZ,863571,20754,5123812.00,1611233.00,1640226,NaN,NaN,1207963,NaN,NaN,942403,NaN,NaN,860579,22,16,1299286,88,59,751699,90,63,411197,131,57,145737,157,31
CA,3800609,65766,30820835.00,12216671.00,8894449,0,NaN,6670575,NaN,12,5697826,34,15,5005537,80,52,7249639,379,164,3386670,476,168,1701599,519,139,749846,742,133
CO,512804,49119,4506339.00,1760309.00,1259516,NaN,NaN,965867,NaN,0,867269,NaN,NaN,734178,14,20,1053553,65,92,522131,86,76,230360,126,67,89921,167,54
CT,339669,27201,3264326.00,1271427.00,727440,0,0,563396,NaN,0,440410,NaN,NaN,432122,21,NaN,764770,141,35,352819,274,32,186095,387,18,91330,706,21
DC,47748,3092,608710.00,227365.00,128168,0,NaN,153472,NaN,NaN,144342,NaN,NaN,82716,12,0,105529,57,16,50219,71,13,24882,59,NaN,12242,66,NaN
DE,105542,9256,771295.00,297383.00,203572,0,NaN,145814,NaN,0,122108,NaN,0,110069,NaN,NaN,199875,39,11,112858,58,NaN,55794,61,NaN,20254,108,NaN
FL,2199794,168801,15488105.00,5706366.00,4229919,0,0,3124914,NaN,12,2694793,10,26,2596575,28,79,4266301,116,300,2465369,218,318,1450514,318,353,581454,440,228
