State,Cases Cum,Cases Change,Vax Cum,Vax Change,Y19 pop: ages 0-17,Y20: ages 0-17,Y21: ages 0-17,Y19 pop: ages 18-29,Y20: ages 18-29,Y21: ages 18-29,Y19 pop: ages 30-39,Y20: ages 30-39,Y21: ages 30-39,Y19 pop: ages 40-49,Y20: ages 40-49,Y21: ages 40-49,Y19 pop: ages 50-64,Y20: ages 50-64,Y21: ages 50-64,Y19 pop: ages 65-74,Y20: ages 65-74,Y21: ages 65-74,Y19 pop: ages 75-84,Y20: ages 75-84,Y21: ages 75-84,Y19 pop: ages 85-plus,Y20: ages 85-plus,Y21: ages 85-plus
AK,60768,4370,411529.00,143123.00,179983,NaN,NaN,116627,NaN,NaN,103905,12,12,84037,25,20,135974,NaN,NaN,61300,NaN,NaN,23107,NaN,NaN,7181,NaN,NaN
AL,527821,13298,1771979.00,823586.00,1088286,NaN,NaN,781985,NaN,NaN,608741,NaN,NaN,595691,219,261,964807,827,852,501447,980,1075,256847,1126,1083,91543,1101,985
AR,330609,8100,1209965.00,548393.00,700155,NaN,NaN,481913,NaN,NaN,381765,NaN,NaN,359653,NaN,NaN,565174,429,444,302829,517,608,161141,607,624,59912,611,559
AZ,842817,24371,3512579.00,1663320.00,1640226,NaN,NaN,1207963,NaN,NaN,942403,NaN,NaN,860579,196,267,1299286,817,801,751699,1106,1095,411197,1388,1248,145737,1556,1206
CA,3734843,82381,18604164.00,9498087.00,8894449,209,215,6670575,491,539,5697826,618,738,5005537,930,934,7249639,3658,3495,3386670,4261,3936,1701599,5382,4555,749846,7510,6198
CO,463685,33846,2746030.00,1333120.00,1259516,NaN,NaN,965867,NaN,NaN,867269,122,129,734178,176,172,1053553,662,513,522131,768,595,230360,932,751,89921,1351,861
CT,312468,29842,1992899.00,961594.00,727440,NaN,NaN,563396,51,30,440410,NaN,NaN,432122,NaN,NaN,764770,650,381,352819,843,409,186095,1198,496,91330,2118,752
DC,44656,3972,381345.00,183298.00,128168,NaN,NaN,153472,NaN,NaN,144342,NaN,NaN,82716,NaN,NaN,105529,178,123,50219,200,99,24882,NaN,NaN,12242,NaN,NaN
DE,96286,7439,473912.00,248538.00,203572,NaN,NaN,145814,NaN,15,122108,NaN,NaN,110069,NaN,NaN,199875,NaN,NaN,112858,201,188,55794,243,171,20254,291,185
FL,2030993,151151,9781739.00,4733779.00,4229919,180,171,3124914,332,331,2694793,451,541,2596575,660,785,4266301,2721,2868,2465369,3358,3658,1450514,4360,4516,581454,5449,5229
GA,1060973,52313,3950645.00,1878017.00,2503664,NaN,NaN,1745979,NaN,NaN,1414834,241,231,1379326,389,383,1993652,1488,1471,926001,1621,1598,439884,1968,1706,151069,2017,1591
HI,29888,2389,717790.00,328146.00,299867,NaN,NaN,193859,12,11,181734,NaN,NaN,164618,NaN,NaN,262063,143,133,152092,162,153,74688,172,202,41668,303,371
IA,351795,15148,1567904.00,833059.00,726841,NaN,NaN,519211,NaN,NaN,393648,NaN,NaN,360764,NaN,NaN,599851,367,354,311447,465,469,162833,545,580,78674,840,754
ID,180897,9435,766703.00,362453.00,448201,NaN,NaN,284181,19,26,231897,NaN,NaN,211310,NaN,NaN,317270,160,169,175866,193,251,85030,299,328,29774,327,324
IL,1248111,60272,6073419.00,3166864.00,2817739,NaN,NaN,2034826,NaN,NaN,1705429,265,259,1585079,413,337,2457804,1773,1470,1176033,2261,1731,600230,2672,1908,266969,3675,2348
IN,689172,26021,2840511.00,1225362.00,1567974,NaN,NaN,1123556,NaN,NaN,852163,NaN,NaN,814906,226,225,1285037,988,883,636737,1230,1155,317937,1459,1157,131069,1869,1306
KS,302372,8070,1311354.00,690415.00,700250,NaN,NaN,476935,NaN,NaN,371605,NaN,NaN,331246,NaN,NaN,535053,353,315,272236,409,399,137573,459,450,65678,674,588
KY,431938,19154,2142945.00,1096110.00,1002871,48,40,713788,93,109,553681,NaN,NaN,549093,230,223,880890,718,824,447876,801,903,220820,928,979,81868,919,820
LA,445469,14965,2003199.00,926623.00,1087630,NaN,NaN,745828,NaN,NaN,632970,157,164,542194,225,190,883222,858,698,442534,1097,794,216431,1285,759,82057,1342,769
MA,638339,55796,3685186.00,1881658.00,1352799,33,37,1193244,NaN,NaN,932753,NaN,NaN,831850,202,182,1407593,989,679,673305,1460,796,336504,2285,937,159523,3856,1358
MD,414385,31215,2882170.00,1518025.00,1334687,NaN,NaN,924743,104,103,815155,NaN,NaN,749963,NaN,NaN,1226685,919,816,561582,1055,866,278421,1343,965,119393,1756,1092
ME,51191,6246,715036.00,381027.00,248842,NaN,NaN,187477,12,14,160399,NaN,NaN,157945,NaN,NaN,302917,161,185,169079,220,230,82386,278,286,33800,374,338
MI,805607,115213,4514072.00,2156813.00,2143933,NaN,NaN,1642153,NaN,NaN,1211485,217,263,1178655,371,367,2041521,1782,1569,1037580,2411,1849,514685,2946,2060,213136,3888,2246
MN,521667,36437,2800651.00,1371020.00,1303157,NaN,NaN,876402,NaN,NaN,771660,NaN,NaN,665072,NaN,NaN,1100821,533,565,531059,703,689,266713,867,806,122610,1408,1149
MO,568684,16850,2576981.00,1201954.00,1370506,NaN,NaN,974452,NaN,NaN,792965,NaN,NaN,718659,223,249,1199938,947,947,610165,1106,1102,318341,1344,1208,133531,1595,1266
MS,306446,9301,1160150.00,523034.00,698580,NaN,NaN,482199,NaN,NaN,371831,NaN,NaN,356990,150,139,565800,522,499,288955,591,605,145440,691,600,52298,714,516
MT,104725,4722,534273.00,249594.00,228588,NaN,NaN,167165,10,24,134453,NaN,NaN,119209,NaN,NaN,209365,112,138,124631,159,164,58951,165,206,22855,239,203
NC,918500,52686,4781372.00,2255793.00,2300691,NaN,NaN,1658593,NaN,NaN,1321108,228,157,1322397,368,219,2036727,1336,577,1046508,1642,559,515192,2016,600,189394,2198,575
ND,103460,3503,419484.00,180899.00,180170,NaN,NaN,138345,10,12,103251,NaN,NaN,79951,NaN,NaN,133325,76,104,66664,95,86,34368,137,109,18813,197,145
NE,210026,8550,966534.00,490219.00,476074,NaN,NaN,315685,NaN,NaN,253372,NaN,NaN,220941,NaN,NaN,349273,194,229,178908,244,264,90492,322,297,43058,455,450
NH,84539,8951,707655.00,382849.00,255253,NaN,NaN,210573,16,18,166319,27,27,161091,NaN,NaN,311306,167,141,152669,201,188,70954,231,221,30241,343,299
NJ,914422,121926,4523995.00,2427497.00,1938566,43,35,1328189,127,77,1149837,233,139,1141316,530,239,1839353,2473,990,832866,2930,1138,439565,4177,1323,203104,6266,1776
NM,191945,6648,1281047.00,569435.00,475838,NaN,NaN,334664,NaN,NaN,270263,NaN,NaN,235720,NaN,NaN,391083,263,288,224483,307,325,111714,386,353,41409,452,415
NV,304112,10132,1374197.00,659076.00,692639,24,18,473875,NaN,NaN,434843,NaN,NaN,394562,NaN,NaN,577438,386,395,303363,502,493,147793,512,536,44816,534,428
NY,1887021,231001,9393484.00,5037940.00,4028289,NaN,NaN,3212532,NaN,NaN,2666603,531,234,2353293,1118,353,3871754,5648,1709,1859922,7442,1720,976223,9184,2139,460001,12548,3094
OH,1020041,51167,5400664.00,2739820.00,2578019,NaN,NaN,1858594,NaN,NaN,1473504,296,321,1385682,405,448,2338222,1598,1788,1189243,2137,2036,600805,2545,2225,256272,3351,2586
