State,Cases Cum,Cases Change,Vax Cum,Vax Change,Y19 pop: ages 0-17,Y20: ages 0-17,Y21: ages 0-17,Y19 pop: ages 18-29,Y20: ages 18-29,Y21: ages 18-29,Y19 pop: ages 30-39,Y20: ages 30-39,Y21: ages 30-39,Y19 pop: ages 40-49,Y20: ages 40-49,Y21: ages 40-49,Y19 pop: ages 50-64,Y20: ages 50-64,Y21: ages 50-64,Y19 pop: ages 65-74,Y20: ages 65-74,Y21: ages 65-74,Y19 pop: ages 75-84,Y20: ages 75-84,Y21: ages 75-84,Y19 pop: ages 85-plus,Y20: ages 85-plus,Y21: ages 85-plus
AK,72753,4325,697509.00,37274.00,179983,NaN,NaN,116627,NaN,NaN,103905,26,11,84037,28,NaN,135974,NaN,NaN,61300,NaN,NaN,23107,NaN,NaN,7181,NaN,NaN
AL,595659,41737,3603940.00,238544.00,1088286,NaN,NaN,781985,NaN,NaN,608741,NaN,NaN,595691,257,229,964807,991,890,501447,1149,946,256847,1387,945,91543,1287,826
AR,388436,38351,2455566.00,214949.00,700155,NaN,NaN,481913,NaN,NaN,381765,NaN,NaN,359653,NaN,NaN,565174,561,601,302829,683,680,161141,752,696,59912,758,626
AZ,929541,34194,7113311.00,344718.00,1640226,NaN,NaN,1207963,NaN,NaN,942403,NaN,NaN,860579,318,266,1299286,1054,816,751699,1333,1064,411197,1513,1205,145737,1516,1288
CA,4066084,193031,45274447.00,2502762.00,8894449,260,140,6670575,655,359,5697826,813,573,5005537,1131,873,7249639,4389,2838,3386670,4707,3128,1701599,5547,3720,749846,7475,5195
CO,576548,18227,6484050.00,280506.00,1259516,NaN,NaN,965867,NaN,NaN,867269,145,146,734178,173,174,1053553,541,434,522131,641,509,230360,708,620,89921,896,738
CT,355163,5776,4599836.00,185724.00,727440,NaN,NaN,563396,48,NaN,440410,NaN,NaN,432122,NaN,NaN,764770,375,9,352819,387,-2,186095,493,-32,91330,721,-26
DC,50606,1244,902782.00,37738.00,128168,NaN,NaN,153472,NaN,NaN,144342,NaN,NaN,82716,NaN,NaN,105529,130,64,50219,88,59,24882,NaN,NaN,12242,NaN,NaN
DE,111563,1793,1092299.00,50917.00,203572,NaN,NaN,145814,15,12,122108,NaN,NaN,110069,NaN,NaN,199875,NaN,NaN,112858,169,136,55794,184,152,20254,204,177
FL,2641923,303126,22626694.00,1513604.00,4229919,158,111,3124914,314,356,2694793,523,675,2596575,792,1176,4266301,3344,4175,2465369,4309,4542,1450514,5566,5227,581454,6834,5838
GA,1187107,52014,8942038.00,496354.00,2503664,NaN,NaN,1745979,NaN,NaN,1414834,276,156,1379326,458,292,1993652,1732,1138,926001,2002,1130,439884,2128,1273,151069,2097,1203
HI,41090,4655,1720923.00,40707.00,299867,11,NaN,193859,20,14,181734,NaN,NaN,164618,NaN,NaN,262063,139,138,152092,174,171,74688,218,149,41668,333,322
IA,380671,6662,3141321.00,101980.00,726841,NaN,NaN,519211,NaN,NaN,393648,NaN,NaN,360764,NaN,NaN,599851,381,280,311447,474,359,162833,635,482,78674,936,603
ID,201062,5973,1376586.00,50885.00,448201,NaN,NaN,284181,18,21,231897,NaN,NaN,211310,NaN,NaN,317270,206,184,175866,274,218,85030,355,340,29774,409,299
IL,1423349,31153,13682875.00,680843.00,2817739,NaN,NaN,2034826,NaN,NaN,1705429,231,221,1585079,381,295,2457804,1416,1161,1176033,1621,1515,600230,1940,1623,266969,2570,2200
IN,773163,18846,6084496.00,484162.00,1567974,NaN,NaN,1123556,NaN,NaN,852163,NaN,NaN,814906,228,112,1285037,952,566,636737,1049,861,317937,1314,1015,131069,1420,1028
KS,334067,15757,2709869.00,218157.00,700250,NaN,NaN,476935,NaN,NaN,371605,NaN,NaN,331246,NaN,NaN,535053,358,377,272236,418,444,137573,552,463,65678,691,599
KY,486781,21997,4210049.00,207106.00,1002871,52,10,713788,107,32,553681,NaN,NaN,549093,209,92,880890,851,444,447876,919,557,220820,956,603,81868,884,562
LA,549083,67048,3664260.00,284039.00,1087630,NaN,NaN,745828,NaN,NaN,632970,179,30,542194,198,59,883222,809,289,442534,1025,376,216431,1073,318,82057,1069,360
MA,721182,11133,9153642.00,295280.00,1352799,34,32,1193244,NaN,NaN,932753,NaN,NaN,831850,141,132,1407593,615,585,673305,733,671,336504,911,837,159523,1273,1201
MD,469095,6656,7219094.00,327750.00,1334687,NaN,NaN,924743,132,91,815155,NaN,NaN,749963,NaN,NaN,1226685,756,539,561582,746,629,278421,870,751,119393,1204,907
ME,70590,1521,1666728.00,51478.00,248842,11,NaN,187477,22,12,160399,NaN,NaN,157945,NaN,NaN,302917,169,191,169079,222,224,82386,288,273,33800,361,336
MI,1016694,13478,9814438.00,375791.00,2143933,NaN,NaN,1642153,NaN,NaN,1211485,208,157,1178655,268,182,2041521,1162,872,1037580,1433,1225,514685,1767,1425,213136,2233,1709
MN,613115,7667,6093791.00,209721.00,1303157,NaN,NaN,876402,NaN,NaN,771660,NaN,NaN,665072,NaN,NaN,1100821,541,404,531059,675,619,266713,845,733,122610,1227,1029
MO,682738,61493,5496056.00,373086.00,1370506,NaN,NaN,974452,NaN,NaN,792965,NaN,NaN,718659,239,187,1199938,963,919,610165,1121,1061,318341,1376,1137,133531,1571,1204
MS,348496,26000,2150267.00,236852.00,698580,NaN,NaN,482199,NaN,NaN,371831,NaN,NaN,356990,189,181,565800,643,663,288955,747,658,145440,794,680,52298,815,592
MT,116542,2721,974832.00,33363.00,228588,NaN,NaN,167165,17,17,134453,NaN,NaN,119209,NaN,NaN,209365,138,107,124631,173,151,58951,208,216,22855,250,212
NC,1062287,49303,9747467.00,462397.00,2300691,NaN,NaN,1658593,NaN,NaN,1321108,283,93,1322397,355,131,2036727,1578,281,1046508,1808,220,515192,2076,260,189394,2301,331
ND,111674,945,664629.00,21521.00,180170,11,NaN,138345,20,NaN,103251,NaN,NaN,79951,NaN,NaN,133325,76,31,66664,93,32,34368,112,40,18813,189,47
NE,229194,4512,1946218.00,77430.00,476074,NaN,NaN,315685,NaN,NaN,253372,NaN,NaN,220941,NaN,NaN,349273,202,88,178908,265,141,90492,354,179,43058,494,234
NH,100875,1348,1593438.00,60697.00,255253,NaN,NaN,210573,17,14,166319,28,28,161091,NaN,NaN,311306,125,157,152669,164,187,70954,244,192,30241,306,316
NJ,1040281,16668,10396207.00,531373.00,1938566,35,32,1328189,114,69,1149837,130,125,1141316,194,180,1839353,757,631,832866,837,840,439565,1087,981,203104,1495,1466
NM,211132,5503,2494981.00,110558.00,475838,NaN,NaN,334664,NaN,NaN,270263,NaN,NaN,235720,NaN,NaN,391083,294,186,224483,343,228,111714,388,246,41409,385,288
NV,358087,23832,2974860.00,191013.00,692639,27,33,473875,NaN,NaN,434843,NaN,NaN,394562,NaN,NaN,577438,522,407,303363,598,463,147793,680,547,44816,571,404
NY,2152577,38866,22997841.00,1146817.00,4028289,NaN,NaN,3212532,NaN,NaN,2666603,295,260,2353293,296,361,3871754,1223,1284,1859922,1373,1471,976223,1708,1873,460001,2631,2753
OH,1130134,18231,11104423.00,401230.00,2578019,NaN,NaN,1858594,NaN,NaN,1473504,308,268,1385682,427,310,2338222,1736,1143,1189243,2116,1378,600805,2497,1547,256272,3122,1862
OK,485771,27288,3462510.00,188480.00,952187,NaN,NaN,648315,NaN,NaN,523317,NaN,NaN,461950,157,109,716628,620,421,368050,673,524,192919,842,539,74163,810,424
OR,221117,12283,4750153.00,173266.00,866562,NaN,NaN,666600,NaN,NaN,596238,NaN,NaN,532578,NaN,NaN,787120,481,335,464598,665,488,216944,773,561,84538,927,656
PA,1232034,14324,14612105.00,698031.00,2634613,NaN,NaN,2001847,NaN,NaN,1636740,278,270,1494173,352,330,2634952,1598,1404,1354093,2055,1899,707157,2506,2100,332112,3389,2894
PR,147896,7647,3980367.00,283866.00,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,87,61,NaN,383,137,NaN,491,107,NaN,637,130,NaN,805,128
RI,154772,2256,1331347.00,52445.00,204484,10,NaN,183358,18,NaN,137063,NaN,NaN,122312,NaN,NaN,220667,121,49,106159,148,86,53375,170,95,27512,302,159
SC,622176,24487,4422076.00,223498.00,1110891,NaN,NaN,791400,NaN,NaN,640964,NaN,NaN,615851,228,208,1011097,867,772,570600,1182,847,275013,1329,884,91410,1331,855
SD,125428,867,851636.00,30908.00,217101,14,NaN,138420,31,NaN,112891,NaN,NaN,95255,NaN,NaN,165658,104,66,89216,124,91,41670,149,109,20985,230,139
TN,901663,34537,5772001.00,488128.00,1510050,NaN,NaN,1097639,NaN,NaN,882026,NaN,NaN,847903,392,323,1327566,1313,1122,681396,1462,1234,340228,1620,1294,121769,1550,1137
TX,3128102,137399,27497655.00,1741188.00,7399719,NaN,NaN,4914742,491,339,4138794,690,575,3719487,1145,1018,4974261,4255,3114,2245028,4787,3244,1080742,5327,3444,408459,5275,3416
UT,433963,18284,3005597.00,148620.00,931184,NaN,NaN,611382,NaN,NaN,449773,NaN,NaN,388390,NaN,NaN,454519,277,186,219466,319,202,107832,429,252,38574,473,265
