State,Cases Cum,Cases Change,Vax Cum,Vax Change,Y19 pop: ages 0-17,Y20: ages 0-17,Y21: ages 0-17,Y19 pop: ages 18-29,Y20: ages 18-29,Y21: ages 18-29,Y19 pop: ages 30-39,Y20: ages 30-39,Y21: ages 30-39,Y19 pop: ages 40-49,Y20: ages 40-49,Y21: ages 40-49,Y19 pop: ages 50-64,Y20: ages 50-64,Y21: ages 50-64,Y19 pop: ages 65-74,Y20: ages 65-74,Y21: ages 65-74,Y19 pop: ages 75-84,Y20: ages 75-84,Y21: ages 75-84,Y19 pop: ages 85-plus,Y20: ages 85-plus,Y21: ages 85-plus
AK,52827,6586,122020.00,105516.00,179983,NaN,NaN,116627,NaN,NaN,103905,12,17,84037,24,16,135974,NaN,NaN,61300,NaN,NaN,23107,NaN,NaN,7181,NaN,NaN
AL,485579,94397,358280.00,322092.00,1088286,NaN,NaN,781985,NaN,NaN,608741,NaN,NaN,595691,177,206,964807,847,959,501447,887,1190,256847,1061,1370,91543,1044,1172
AR,296494,67052,311230.00,273693.00,700155,NaN,NaN,481913,NaN,NaN,381765,NaN,NaN,359653,NaN,NaN,565174,435,562,302829,533,624,161141,689,791,59912,677,711
AZ,762593,231971,620608.00,567956.00,1640226,NaN,NaN,1207963,NaN,NaN,942403,NaN,NaN,860579,188,249,1299286,731,1058,751699,951,1391,411197,1305,1606,145737,1424,1394
CA,3465184,902645,3453284.00,3078787.00,8894449,235,202,6670575,421,517,5697826,564,786,5005537,778,1187,7249639,3427,4951,3386670,3932,5748,1701599,4913,6216,749846,6995,7839
CO,397063,59902,589787.00,495036.00,1259516,NaN,NaN,965867,NaN,NaN,867269,95,110,734178,156,154,1053553,505,463,522131,578,636,230360,676,673,89921,970,931
CT,253954,68246,449253.00,381183.00,727440,NaN,NaN,563396,32,35,440410,NaN,NaN,432122,NaN,NaN,764770,315,379,352819,407,422,186095,524,608,91330,916,910
DC,37008,7756,82519.00,69352.00,128168,NaN,NaN,153472,NaN,NaN,144342,NaN,NaN,82716,NaN,NaN,105529,85,125,50219,80,134,24882,NaN,NaN,12242,NaN,NaN
DE,80037,20367,102697.00,91631.00,203572,NaN,NaN,145814,10,10,122108,NaN,NaN,110069,NaN,NaN,199875,NaN,NaN,112858,129,161,55794,159,223,20254,219,240
FL,1703440,375100,2005378.00,1767569.00,4229919,165,156,3124914,271,338,2694793,383,474,2596575,575,662,4266301,2517,2927,2465369,3130,3835,1450514,4148,4950,581454,5319,5915
GA,912479,234890,930517.00,855360.00,2503664,NaN,NaN,1745979,NaN,NaN,1414834,169,244,1379326,313,407,1993652,1293,1643,926001,1441,1923,439884,1566,2188,151069,1630,1946
HI,25870,4612,135836.00,110796.00,299867,11,NaN,193859,19,14,181734,NaN,NaN,164618,NaN,NaN,262063,121,158,152092,172,181,74688,208,176,41668,365,334
IA,319814,37150,257468.00,206356.00,726841,NaN,NaN,519211,NaN,NaN,393648,NaN,NaN,360764,NaN,NaN,599851,316,330,311447,414,437,162833,578,583,78674,863,744
