State,Cases Cum,Cases Change,Vax Cum,Vax Change,Y19 pop: ages 0-17,Y20: ages 0-17,Y21: ages 0-17,Y19 pop: ages 18-29,Y20: ages 18-29,Y21: ages 18-29,Y19 pop: ages 30-39,Y20: ages 30-39,Y21: ages 30-39,Y19 pop: ages 40-49,Y20: ages 40-49,Y21: ages 40-49,Y19 pop: ages 50-64,Y20: ages 50-64,Y21: ages 50-64,Y19 pop: ages 65-74,Y20: ages 65-74,Y21: ages 65-74,Y19 pop: ages 75-84,Y20: ages 75-84,Y21: ages 75-84,Y19 pop: ages 85-plus,Y20: ages 85-plus,Y21: ages 85-plus
AK,68428,921,660235.00,47543.00,179983,NaN,NaN,116627,NaN,NaN,103905,25,10,84037,34,17,135974,NaN,NaN,61300,NaN,NaN,23107,NaN,NaN,7181,NaN,NaN
AL,553922,5506,3365396.00,343120.00,1088286,NaN,NaN,781985,NaN,NaN,608741,NaN,NaN,595691,227,248,964807,1036,852,501447,1184,968,256847,1340,1051,91543,1265,959
AR,350085,8635,2240617.00,159350.00,700155,NaN,NaN,481913,NaN,NaN,381765,NaN,NaN,359653,NaN,NaN,565174,519,587,302829,669,675,161141,662,725,59912,683,661
AZ,895347,13893,6768593.00,791927.00,1640226,NaN,NaN,1207963,NaN,NaN,942403,NaN,NaN,860579,371,269,1299286,1405,861,751699,1649,1092,411197,1868,1225,145737,1990,1282
CA,3873053,33634,42771685.00,4298956.00,8894449,259,231,6670575,602,571,5697826,820,793,5005537,1209,1005,7249639,4307,3477,3386670,4730,3865,1701599,5492,4526,749846,7388,6214
CO,558321,14740,6203544.00,580487.00,1259516,NaN,NaN,965867,NaN,NaN,867269,130,127,734178,171,169,1053553,542,573,522131,614,666,230360,695,786,89921,902,841
CT,349387,1824,4414112.00,369492.00,727440,NaN,NaN,563396,62,54,440410,NaN,NaN,432122,NaN,NaN,764770,410,348,352819,378,371,186095,416,476,91330,774,703
DC,49362,362,865044.00,74353.00,128168,NaN,NaN,153472,NaN,NaN,144342,NaN,NaN,82716,NaN,NaN,105529,126,98,50219,99,89,24882,NaN,NaN,12242,NaN,NaN
DE,109770,877,1041382.00,97702.00,203572,NaN,NaN,145814,24,23,122108,NaN,NaN,110069,NaN,NaN,199875,NaN,NaN,112858,148,161,55794,220,143,20254,209,197
FL,2338797,54333,21113090.00,2291793.00,4229919,174,202,3124914,359,396,2694793,552,606,2596575,799,840,4266301,3507,3326,2465369,4276,3767,1450514,5639,4611,581454,6951,5471
GA,1135093,11013,8445684.00,835029.00,2503664,NaN,NaN,1745979,NaN,NaN,1414834,316,170,1379326,436,297,1993652,1675,1306,926001,1800,1506,439884,2000,1569,151069,1978,1482
HI,36435,1345,1680216.00,88020.00,299867,NaN,NaN,193859,15,19,181734,NaN,NaN,164618,NaN,NaN,262063,138,156,152092,196,166,74688,179,192,41668,306,295
