State,Cases Cum,Cases Change,Vax Cum,Vax Change,Y19 pop: ages 0-17,Y20: ages 0-17,Y21: ages 0-17,Y19 pop: ages 18-29,Y20: ages 18-29,Y21: ages 18-29,Y19 pop: ages 30-39,Y20: ages 30-39,Y21: ages 30-39,Y19 pop: ages 40-49,Y20: ages 40-49,Y21: ages 40-49,Y19 pop: ages 50-64,Y20: ages 50-64,Y21: ages 50-64,Y19 pop: ages 65-74,Y20: ages 65-74,Y21: ages 65-74,Y19 pop: ages 75-84,Y20: ages 75-84,Y21: ages 75-84,Y19 pop: ages 85-plus,Y20: ages 85-plus,Y21: ages 85-plus
AK,67507,2009,612692.00,52030.00,179983,NaN,NaN,116627,NaN,NaN,103905,23,20,84037,17,11,135974,NaN,NaN,61300,NaN,NaN,23107,NaN,NaN,7181,NaN,NaN
AL,548416,8394,3022276.00,404871.00,1088286,NaN,NaN,781985,NaN,NaN,608741,NaN,NaN,595691,225,229,964807,875,786,501447,959,947,256847,1120,1014,91543,1063,968
AR,341450,5482,2081267.00,277472.00,700155,NaN,NaN,481913,NaN,NaN,381765,NaN,NaN,359653,NaN,NaN,565174,498,495,302829,554,580,161141,672,624,59912,616,593
AZ,881454,17883,5976666.00,852854.00,1640226,NaN,NaN,1207963,NaN,NaN,942403,NaN,NaN,860579,277,272,1299286,976,871,751699,1181,1114,411197,1526,1279,145737,1590,1224
CA,3839419,38810,38472729.00,7651894.00,8894449,234,272,6670575,537,573,5697826,706,797,5005537,914,947,7249639,3658,3487,3386670,3927,3645,1701599,4825,4402,749846,6625,5852
CO,543581,30777,5623057.00,1116718.00,1259516,NaN,NaN,965867,NaN,NaN,867269,137,159,734178,164,165,1053553,536,550,522131,594,622,230360,697,695,89921,917,835
CT,347563,7894,4044620.00,780294.00,727440,NaN,NaN,563396,48,42,440410,NaN,NaN,432122,NaN,NaN,764770,361,381,352819,406,396,186095,542,455,91330,769,728
DC,49000,1252,790691.00,181981.00,128168,NaN,NaN,153472,NaN,NaN,144342,NaN,NaN,82716,NaN,NaN,105529,126,115,50219,109,96,24882,NaN,NaN,12242,NaN,NaN
DE,108893,3351,943680.00,172385.00,203572,NaN,NaN,145814,17,18,122108,NaN,NaN,110069,NaN,NaN,199875,NaN,NaN,112858,151,167,55794,148,166,20254,224,164
FL,2284464,84670,18821297.00,3333192.00,4229919,176,179,3124914,378,362,2694793,511,556,2596575,661,728,4266301,2689,2820,2465369,3311,3327,1450514,4029,4258,581454,5345,5001
GA,1124080,22593,7610655.00,1223701.00,2503664,NaN,NaN,1745979,NaN,NaN,1414834,238,202,1379326,361,355,1993652,1411,1244,926001,1443,1539,439884,1572,1442,151069,1634,1427
HI,35090,2208,1592196.00,352376.00,299867,12,10,193859,NaN,NaN,181734,NaN,NaN,164618,NaN,NaN,262063,139,153,152092,168,163,74688,174,173,41668,308,303
IA,371473,6245,2850889.00,441931.00,726841,NaN,NaN,519211,NaN,NaN,393648,NaN,NaN,360764,NaN,NaN,599851,359,308,311447,430,441,162833,512,545,78674,754,687
ID,192305,4529,1239775.00,152585.00,448201,NaN,NaN,284181,34,26,231897,NaN,NaN,211310,NaN,NaN,317270,168,173,175866,219,265,85030,289,313,29774,357,358
IL,1382587,44719,11701469.00,2150200.00,2817739,NaN,NaN,2034826,NaN,NaN,1705429,241,240,1585079,407,354,2457804,1488,1381,1176033,1690,1609,600230,1940,1779,266969,2573,2121
IN,744213,22636,5117270.00,915403.00,1567974,NaN,NaN,1123556,NaN,NaN,852163,NaN,NaN,814906,252,221,1285037,893,903,636737,1106,1119,317937,1186,1198,131069,1454,1241
KS,314417,5116,2328849.00,292537.00,700250,NaN,NaN,476935,NaN,NaN,371605,NaN,NaN,331246,NaN,NaN,535053,322,335,272236,400,385,137573,422,450,65678,608,589
KY,459288,11373,3654599.00,486544.00,1002871,45,34,713788,92,53,553681,NaN,NaN,549093,194,216,880890,754,743,447876,807,844,220820,825,930,81868,839,775
LA,471663,12829,3091340.00,381540.00,1087630,NaN,NaN,745828,NaN,NaN,632970,146,98,542194,188,140,883222,686,624,442534,746,762,216431,776,759,82057,907,779
