State,Cases Cum,Cases Change,Vax Cum,Vax Change,Y19 pop: ages 0-17,Y20: ages 0-17,Y21: ages 0-17,Y19 pop: ages 18-29,Y20: ages 18-29,Y21: ages 18-29,Y19 pop: ages 30-39,Y20: ages 30-39,Y21: ages 30-39,Y19 pop: ages 40-49,Y20: ages 40-49,Y21: ages 40-49,Y19 pop: ages 50-64,Y20: ages 50-64,Y21: ages 50-64,Y19 pop: ages 65-74,Y20: ages 65-74,Y21: ages 65-74,Y19 pop: ages 75-84,Y20: ages 75-84,Y21: ages 75-84,Y19 pop: ages 85-plus,Y20: ages 85-plus,Y21: ages 85-plus
AK,56398,3571,268406.00,146386.00,179983,NaN,NaN,116627,NaN,NaN,103905,22,22,84037,12,21,135974,NaN,NaN,61300,NaN,NaN,23107,NaN,NaN,7181,NaN,NaN
AL,514523,28944,948393.00,590113.00,1088286,NaN,NaN,781985,NaN,NaN,608741,NaN,NaN,595691,195,220,964807,813,895,501447,970,1046,256847,1067,1216,91543,1081,1013
AR,322509,26015,661572.00,350342.00,700155,NaN,NaN,481913,NaN,NaN,381765,NaN,NaN,359653,NaN,NaN,565174,455,580,302829,558,623,161141,668,644,59912,659,642
AZ,818446,55853,1849259.00,1228651.00,1640226,NaN,NaN,1207963,NaN,NaN,942403,NaN,NaN,860579,198,213,1299286,829,848,751699,1094,1175,411197,1460,1543,145737,1492,1457
CA,3652462,187278,9106077.00,5652793.00,8894449,258,239,6670575,441,572,5697826,563,774,5005537,823,1111,7249639,3654,4110,3386670,4203,4666,1701599,5250,5523,749846,7369,7162
CO,429839,32776,1412910.00,823123.00,1259516,NaN,NaN,965867,NaN,NaN,867269,101,162,734178,142,191,1053553,560,585,522131,676,653,230360,784,773,89921,997,968
CT,282626,28672,1031305.00,582052.00,727440,NaN,NaN,563396,42,44,440410,NaN,NaN,432122,NaN,NaN,764770,380,405,352819,433,459,186095,633,579,91330,1024,854
DC,40684,3676,198047.00,115528.00,128168,NaN,NaN,153472,NaN,NaN,144342,NaN,NaN,82716,NaN,NaN,105529,106,128,50219,100,126,24882,NaN,NaN,12242,NaN,NaN
DE,88847,8810,225374.00,122677.00,203572,NaN,NaN,145814,10,16,122108,NaN,NaN,110069,NaN,NaN,199875,NaN,NaN,112858,157,172,55794,203,206,20254,257,235
FL,1879842,176402,5047960.00,3042582.00,4229919,188,156,3124914,325,364,2694793,467,537,2596575,622,726,4266301,2683,3005,2465369,3463,3670,1450514,4548,4913,581454,5688,5550
GA,1008660,96181,2072628.00,1142111.00,2503664,NaN,NaN,1745979,NaN,NaN,1414834,227,232,1379326,325,389,1993652,1420,1487,926001,1573,1745,439884,1714,1806,151069,1767,1730
HI,27499,1629,389644.00,253808.00,299867,12,NaN,193859,NaN,17,181734,NaN,NaN,164618,NaN,NaN,262063,163,131,152092,181,193,74688,201,229,41668,327,360
