State,Cases Cum,Cases Change,Vax Cum,Vax Change,Y19 pop: ages 0-17,Y20: ages 0-17,Y21: ages 0-17,Y19 pop: ages 18-29,Y20: ages 18-29,Y21: ages 18-29,Y19 pop: ages 30-39,Y20: ages 30-39,Y21: ages 30-39,Y19 pop: ages 40-49,Y20: ages 40-49,Y21: ages 40-49,Y19 pop: ages 50-64,Y20: ages 50-64,Y21: ages 50-64,Y19 pop: ages 65-74,Y20: ages 65-74,Y21: ages 65-74,Y19 pop: ages 75-84,Y20: ages 75-84,Y21: ages 75-84,Y19 pop: ages 85-plus,Y20: ages 85-plus,Y21: ages 85-plus
AK,65498,4730,560662.00,149133.00,179983,NaN,NaN,116627,NaN,NaN,103905,24,18,84037,25,16,135974,NaN,NaN,61300,NaN,NaN,23107,NaN,NaN,7181,NaN,NaN
AL,540022,12201,2617405.00,845426.00,1088286,NaN,NaN,781985,NaN,NaN,608741,NaN,NaN,595691,216,220,964807,899,850,501447,1002,1054,256847,1145,1063,91543,1139,999
AR,335968,5359,1803795.00,593830.00,700155,NaN,NaN,481913,NaN,NaN,381765,NaN,NaN,359653,NaN,NaN,565174,426,488,302829,583,586,161141,596,684,59912,617,622
AZ,863571,20754,5123812.00,1611233.00,1640226,NaN,NaN,1207963,NaN,NaN,942403,NaN,NaN,860579,224,271,1299286,821,845,751699,1053,1087,411197,1369,1264,145737,1516,1331
CA,3800609,65766,30820835.00,12216671.00,8894449,230,277,6670575,493,546,5697826,666,706,5005537,971,991,7249639,3614,3620,3386670,4215,4032,1701599,4962,4521,749846,7226,6139
CO,512804,49119,4506339.00,1760309.00,1259516,NaN,NaN,965867,NaN,NaN,867269,139,159,734178,160,162,1053553,551,535,522131,656,724,230360,789,711,89921,1011,879
CT,339669,27201,3264326.00,1271427.00,727440,NaN,NaN,563396,40,46,440410,NaN,NaN,432122,NaN,NaN,764770,497,378,352819,614,462,186095,885,507,91330,1500,748
DC,47748,3092,608710.00,227365.00,128168,NaN,NaN,153472,NaN,NaN,144342,NaN,NaN,82716,NaN,NaN,105529,159,95,50219,185,113,24882,NaN,NaN,12242,NaN,NaN
DE,105542,9256,771295.00,297383.00,203572,NaN,NaN,145814,23,16,122108,NaN,NaN,110069,NaN,NaN,199875,NaN,NaN,112858,192,171,55794,231,214,20254,339,189
FL,2199794,168801,15488105.00,5706366.00,4229919,180,195,3124914,333,353,2694793,531,621,2596575,640,744,4266301,2803,3010,2465369,3234,3559,1450514,4231,4573,581454,5446,5287
GA,1101487,40514,6386954.00,2436309.00,2503664,NaN,NaN,1745979,NaN,NaN,1414834,251,266,1379326,384,368,1993652,1435,1498,926001,1659,1514,439884,1814,1687,151069,1949,1559
HI,32882,2994,1239820.00,522030.00,299867,NaN,NaN,193859,NaN,10,181734,NaN,NaN,164618,NaN,NaN,262063,142,121,152092,144,203,74688,182,228,41668,306,314
IA,365228,13433,2408958.00,841054.00,726841,NaN,NaN,519211,NaN,NaN,393648,NaN,NaN,360764,NaN,NaN,599851,396,355,311447,516,461,162833,592,536,78674,920,690
ID,187776,6879,1087190.00,320487.00,448201,NaN,NaN,284181,22,38,231897,NaN,NaN,211310,NaN,NaN,317270,177,183,175866,214,262,85030,297,330,29774,324,330
IL,1337868,89757,9551269.00,3477850.00,2817739,NaN,NaN,2034826,NaN,NaN,1705429,304,239,1585079,472,366,2457804,1922,1461,1176033,2140,1666,600230,2493,1924,266969,3527,2414
IN,721577,32405,4201867.00,1361356.00,1567974,NaN,NaN,1123556,NaN,NaN,852163,NaN,NaN,814906,213,235,1285037,1023,946,636737,1188,1168,317937,1384,1230,131069,1745,1247
KS,309301,6929,2036312.00,724958.00,700250,NaN,NaN,476935,NaN,NaN,371605,NaN,NaN,331246,NaN,NaN,535053,366,337,272236,353,419,137573,470,480,65678,683,607
KY,447915,15977,3168055.00,1025110.00,1002871,52,35,713788,106,103,553681,NaN,NaN,549093,219,231,880890,805,833,447876,811,851,220820,906,893,81868,926,855
LA,458834,13365,2709800.00,706601.00,1087630,NaN,NaN,745828,NaN,NaN,632970,165,128,542194,206,206,883222,738,680,442534,898,784,216431,968,748,82057,999,747
MA,690279,51940,6276416.00,2591230.00,1352799,28,31,1193244,NaN,NaN,932753,NaN,NaN,831850,203,177,1407593,914,671,673305,1180,823,336504,1707,967,159523,2855,1364
MD,448989,34604,4859616.00,1977446.00,1334687,NaN,NaN,924743,127,92,815155,NaN,NaN,749963,NaN,NaN,1226685,992,786,561582,1066,805,278421,1302,918,119393,1664,1090
ME,61847,10656,1200539.00,485503.00,248842,11,10,187477,11,16,160399,NaN,NaN,157945,NaN,NaN,302917,202,191,169079,220,270,82386,255,282,33800,341,376
MI,959049,153442,7216189.00,2702117.00,2143933,NaN,NaN,1642153,NaN,NaN,1211485,189,228,1178655,329,332,2041521,1325,1510,1037580,1555,1803,514685,1891,1897,213136,2554,2196
MN,577524,55857,4421310.00,1620659.00,1303157,NaN,NaN,876402,NaN,NaN,771660,NaN,NaN,665072,NaN,NaN,1100821,568,531,531059,715,726,266713,1029,901,122610,1544,1128
MO,586664,17980,4019723.00,1442742.00,1370506,NaN,NaN,974452,NaN,NaN,792965,NaN,NaN,718659,237,211,1199938,913,969,610165,1083,1109,318341,1276,1193,133531,1486,1299
MS,313147,6701,1591494.00,431344.00,698580,NaN,NaN,482199,NaN,NaN,371831,NaN,NaN,356990,162,159,565800,570,547,288955,673,559,145440,744,589,52298,696,516
MT,108985,4260,766688.00,232415.00,228588,NaN,NaN,167165,21,11,134453,NaN,NaN,119209,NaN,NaN,209365,108,126,124631,159,166,58951,188,209,22855,205,228
NC,972031,53531,7078485.00,2297113.00,2300691,NaN,NaN,1658593,NaN,NaN,1321108,275,141,1322397,392,144,2036727,1447,410,1046508,1633,360,515192,2036,350,189394,2181,322
ND,107708,4248,565496.00,146012.00,180170,12,11,138345,19,16,103251,NaN,NaN,79951,NaN,NaN,133325,79,84,66664,88,105,34368,121,101,18813,208,165
NE,220260,10234,1413371.00,446837.00,476074,NaN,NaN,315685,NaN,NaN,253372,NaN,NaN,220941,NaN,NaN,349273,208,205,178908,279,311,90492,346,315,43058,467,421
NH,95163,10624,1147521.00,439866.00,255253,NaN,NaN,210573,17,14,166319,28,23,161091,NaN,NaN,311306,164,173,152669,201,191,70954,286,228,30241,364,289
NJ,998812,84390,7381197.00,2857202.00,1938566,49,35,1328189,94,99,1149837,201,113,1141316,342,202,1839353,1330,818,832866,1604,929,439565,1913,1250,203104,2796,1569
NM,197946,6001,1817141.00,536094.00,475838,NaN,NaN,334664,NaN,NaN,270263,NaN,NaN,235720,NaN,NaN,391083,336,268,224483,345,343,111714,423,361,41409,453,415
