State,Cases Cum,Cases Change,Vax Cum,Vax Change,Y19 pop: ages 0-17,Y20: ages 0-17,Y21: ages 0-17,Y19 pop: ages 18-29,Y20: ages 18-29,Y21: ages 18-29,Y19 pop: ages 30-39,Y20: ages 30-39,Y21: ages 30-39,Y19 pop: ages 40-49,Y20: ages 40-49,Y21: ages 40-49,Y19 pop: ages 50-64,Y20: ages 50-64,Y21: ages 50-64,Y19 pop: ages 65-74,Y20: ages 65-74,Y21: ages 65-74,Y19 pop: ages 75-84,Y20: ages 75-84,Y21: ages 75-84,Y19 pop: ages 85-plus,Y20: ages 85-plus,Y21: ages 85-plus
AK,60768,4370,411529.00,143123.00,179983,NaN,NaN,116627,15,11,103905,12,12,84037,25,20,135974,71,77,61300,75,78,23107,88,68,7181,63,61
AL,527821,13298,1771979.00,823586.00,1088286,59,64,781985,99,120,608741,120,157,595691,237,279,964807,906,931,501447,1061,1156,256847,1224,1181,91543,1171,1055
AR,330609,8100,1209965.00,548393.00,700155,35,30,481913,61,71,381765,71,82,359653,138,128,565174,485,500,302829,576,667,161141,661,678,59912,658,606
AZ,842817,24371,3512579.00,1663320.00,1640226,54,70,1207963,131,145,942403,140,192,860579,217,288,1299286,916,900,751699,1217,1206,411197,1517,1377,145737,1687,1337
CA,3734843,82381,18604164.00,9498087.00,8894449,225,231,6670575,515,563,5697826,655,775,5005537,1006,1010,7249639,4041,3878,3386670,4765,4440,1701599,6025,5198,749846,8385,7073
CO,463685,33846,2746030.00,1333120.00,1259516,56,39,965867,102,113,867269,133,140,734178,189,185,1053553,725,576,522131,851,678,230360,1043,862,89921,1458,968
CT,312468,29842,1992899.00,961594.00,727440,13,27,563396,51,30,440410,80,66,432122,111,91,764770,683,414,352819,890,456,186095,1290,588,91330,2252,886
DC,44656,3972,381345.00,183298.00,128168,12,14,153472,23,18,144342,28,32,82716,42,43,105529,199,144,50219,221,120,24882,172,107,12242,202,85
DE,96286,7439,473912.00,248538.00,203572,NaN,NaN,145814,NaN,15,122108,32,24,110069,39,42,199875,147,153,112858,219,206,55794,267,195,20254,313,207
FL,2030993,151151,9781739.00,4733779.00,4229919,190,181,3124914,348,347,2694793,477,567,2596575,719,844,4266301,2971,3118,2465369,3722,4022,1450514,4866,5022,581454,5917,5697
