State,Cases Cum,Cases Change,Vax Cum,Vax Change,Y19 pop: ages 0-17,Y20: ages 0-17,Y21: ages 0-17,Y19 pop: ages 18-29,Y20: ages 18-29,Y21: ages 18-29,Y19 pop: ages 30-39,Y20: ages 30-39,Y21: ages 30-39,Y19 pop: ages 40-49,Y20: ages 40-49,Y21: ages 40-49,Y19 pop: ages 50-64,Y20: ages 50-64,Y21: ages 50-64,Y19 pop: ages 65-74,Y20: ages 65-74,Y21: ages 65-74,Y19 pop: ages 75-84,Y20: ages 75-84,Y21: ages 75-84,Y19 pop: ages 85-plus,Y20: ages 85-plus,Y21: ages 85-plus
AK,72753,4325,697509.00,37274.00,179983,11,0,116627,16,NaN,103905,26,11,84037,28,NaN,135974,95,32,61300,88,48,23107,93,56,7181,71,28
AL,595659,41737,3603940.00,238544.00,1088286,63,27,781985,115,61,608741,170,137,595691,275,247,964807,1070,969,501447,1230,1027,256847,1485,1043,91543,1357,896
AR,388436,38351,2455566.00,214949.00,700155,36,23,481913,54,37,381765,76,99,359653,161,180,565174,617,657,302829,742,739,161141,806,750,59912,805,673
AZ,929541,34194,7113311.00,344718.00,1640226,51,63,1207963,189,146,942403,247,215,860579,339,287,1299286,1153,915,751699,1444,1175,411197,1642,1334,145737,1647,1419
CA,4066084,193031,45274447.00,2502762.00,8894449,276,156,6670575,679,383,5697826,850,610,5005537,1207,949,7249639,4772,3221,3386670,5211,3632,1701599,6190,4363,749846,8350,6070
CO,576548,18227,6484050.00,280506.00,1259516,48,45,965867,133,82,867269,156,157,734178,186,187,1053553,604,497,522131,724,592,230360,819,731,89921,1003,845
CT,355163,5776,4599836.00,185724.00,727440,20,NaN,563396,48,NaN,440410,69,NaN,432122,94,NaN,764770,408,42,352819,434,45,186095,585,60,91330,855,108
DC,50606,1244,902782.00,37738.00,128168,11,NaN,153472,22,10,144342,29,11,82716,34,15,105529,151,85,50219,109,80,24882,85,66,12242,105,64
DE,111563,1793,1092299.00,50917.00,203572,NaN,NaN,145814,15,12,122108,28,12,110069,29,18,199875,146,106,112858,187,154,55794,208,176,20254,226,199
FL,2641923,303126,22626694.00,1513604.00,4229919,168,121,3124914,330,372,2694793,549,701,2596575,851,1235,4266301,3594,4425,2465369,4673,4906,1450514,6072,5733,581454,7302,6306
GA,1187107,52014,8942038.00,496354.00,2503664,116,35,1745979,213,86,1414834,290,170,1379326,485,319,1993652,1863,1269,926001,2188,1316,439884,2325,1470,151069,2255,1361
HI,41090,4655,1720923.00,40707.00,299867,11,NaN,193859,20,14,181734,23,25,164618,46,30,262063,152,151,152092,192,189,74688,239,170,41668,365,354
IA,380671,6662,3141321.00,101980.00,726841,18,NaN,519211,44,14,393648,59,23,360764,87,64,599851,414,313,311447,531,416,162833,699,546,78674,1036,703
ID,201062,5973,1376586.00,50885.00,448201,15,NaN,284181,18,21,231897,40,31,211310,63,47,317270,224,202,175866,300,244,85030,373,358,29774,436,326
IL,1423349,31153,13682875.00,680843.00,2817739,98,75,2034826,201,199,1705429,248,238,1585079,413,327,2457804,1602,1347,1176033,1827,1721,600230,2231,1914,266969,2881,2511
IN,773163,18846,6084496.00,484162.00,1567974,79,27,1123556,132,54,852163,168,90,814906,250,134,1285037,1064,678,636737,1181,993,317937,1495,1196,131069,1606,1214
KS,334067,15757,2709869.00,218157.00,700250,20,21,476935,58,48,371605,59,61,331246,89,115,535053,383,402,272236,467,493,137573,614,525,65678,771,679
KY,486781,21997,4210049.00,207106.00,1002871,52,10,713788,107,32,553681,161,49,549093,222,105,880890,926,519,447876,1015,653,220820,1074,721,81868,989,667
LA,549083,67048,3664260.00,284039.00,1087630,65,NaN,745828,115,11,632970,195,46,542194,229,90,883222,954,434,442534,1154,505,216431,1254,499,82057,1211,502
MA,721182,11133,9153642.00,295280.00,1352799,34,32,1193244,70,66,932753,150,121,831850,151,142,1407593,685,655,673305,846,784,336504,1087,1013,159523,1539,1467
MD,469095,6656,7219094.00,327750.00,1334687,57,31,924743,132,91,815155,154,110,749963,229,152,1226685,817,600,561582,830,713,278421,1001,882,119393,1357,1060
ME,70590,1521,1666728.00,51478.00,248842,11,NaN,187477,22,12,160399,27,30,157945,35,33,302917,183,205,169079,247,249,82386,329,314,33800,414,389
MI,1016694,13478,9814438.00,375791.00,2143933,91,60,1642153,164,138,1211485,236,185,1178655,331,245,2041521,1398,1108,1037580,1714,1506,514685,2086,1744,213136,2536,2012
MN,613115,7667,6093791.00,209721.00,1303157,42,28,876402,80,18,771660,105,28,665072,135,63,1100821,587,450,531059,727,671,266713,942,830,122610,1361,1163
MO,682738,61493,5496056.00,373086.00,1370506,67,22,974452,165,35,792965,177,95,718659,250,198,1199938,1050,1006,610165,1224,1164,318341,1504,1265,133531,1706,1339
MS,348496,26000,2150267.00,236852.00,698580,40,23,482199,77,67,371831,137,117,356990,202,194,565800,713,733,288955,821,732,145440,864,750,52298,871,648
MT,116542,2721,974832.00,33363.00,228588,NaN,NaN,167165,17,17,134453,28,21,119209,32,31,209365,149,118,124631,195,173,58951,231,239,22855,286,248
NC,1062287,49303,9747467.00,462397.00,2300691,90,19,1658593,198,81,1321108,296,106,1322397,371,147,2036727,1673,376,1046508,1948,360,515192,2253,437,189394,2502,532
ND,111674,945,664629.00,21521.00,180170,11,NaN,138345,20,NaN,103251,21,NaN,79951,29,10,133325,86,41,66664,114,53,34368,133,61,18813,220,78
NE,229194,4512,1946218.00,77430.00,476074,17,12,315685,26,NaN,253372,35,16,220941,59,28,349273,227,113,178908,292,168,90492,386,211,43058,538,278
