State,Cases Cum,Cases Change,Vax Cum,Vax Change,Y19 pop: ages 0-17,Y20: ages 0-17,Y21: ages 0-17,Y19 pop: ages 18-29,Y20: ages 18-29,Y21: ages 18-29,Y19 pop: ages 30-39,Y20: ages 30-39,Y21: ages 30-39,Y19 pop: ages 40-49,Y20: ages 40-49,Y21: ages 40-49,Y19 pop: ages 50-64,Y20: ages 50-64,Y21: ages 50-64,Y19 pop: ages 65-74,Y20: ages 65-74,Y21: ages 65-74,Y19 pop: ages 75-84,Y20: ages 75-84,Y21: ages 75-84,Y19 pop: ages 85-plus,Y20: ages 85-plus,Y21: ages 85-plus
AK,52827,6586,122020.00,105516.00,179983,NaN,NaN,116627,16,15,103905,12,17,84037,24,16,135974,73,76,61300,90,91,23107,71,81,7181,68,56
AL,485579,94397,358280.00,322092.00,1088286,60,51,781985,77,96,608741,128,145,595691,195,224,964807,926,1038,501447,968,1271,256847,1159,1468,91543,1114,1242
AR,296494,67052,311230.00,273693.00,700155,37,34,481913,40,50,381765,71,87,359653,110,144,565174,491,618,302829,592,683,161141,743,845,59912,724,758
AZ,762593,231971,620608.00,567956.00,1640226,83,60,1207963,127,140,942403,154,188,860579,209,270,1299286,830,1157,751699,1062,1502,411197,1434,1735,145737,1555,1525
CA,3465184,902645,3453284.00,3078787.00,8894449,251,218,6670575,445,541,5697826,601,823,5005537,854,1263,7249639,3810,5334,3386670,4436,6252,1701599,5556,6859,749846,7870,8714
CO,397063,59902,589787.00,495036.00,1259516,52,47,965867,86,102,867269,106,121,734178,169,167,1053553,568,526,522131,661,719,230360,787,784,89921,1077,1038
CT,253954,68246,449253.00,381183.00,727440,19,15,563396,32,35,440410,66,51,432122,92,96,764770,348,412,352819,454,469,186095,616,700,91330,1050,1044
DC,37008,7756,82519.00,69352.00,128168,17,14,153472,NaN,14,144342,26,11,82716,30,32,105529,106,146,50219,101,155,24882,106,119,12242,118,116
DE,80037,20367,102697.00,91631.00,203572,12,NaN,145814,10,10,122108,26,21,110069,27,38,199875,127,145,112858,147,179,55794,183,247,20254,241,262
FL,1703440,375100,2005378.00,1767569.00,4229919,175,166,3124914,287,354,2694793,409,500,2596575,634,721,4266301,2767,3177,2465369,3494,4199,1450514,4654,5456,581454,5787,6383
GA,912479,234890,930517.00,855360.00,2503664,138,103,1745979,156,163,1414834,183,258,1379326,340,434,1993652,1424,1774,926001,1627,2109,439884,1763,2385,151069,1788,2104
HI,25870,4612,135836.00,110796.00,299867,11,NaN,193859,19,14,181734,21,20,164618,33,29,262063,134,171,152092,190,199,74688,229,197,41668,397,366
IA,319814,37150,257468.00,206356.00,726841,30,15,519211,41,26,393648,39,52,360764,82,70,599851,349,363,311447,471,494,162833,642,647,78674,963,844
ID,163165,22088,124377.00,108579.00,448201,22,10,284181,14,19,231897,29,37,211310,38,39,317270,181,182,175866,255,266,85030,297,311,29774,382,363
IL,1128613,165224,1054814.00,890341.00,2817739,88,85,2034826,150,148,1705429,204,223,1585079,293,343,2457804,1510,1517,1176033,1779,2122,600230,2189,2322,266969,2969,3004
IN,628988,110990,607185.00,521434.00,1567974,67,60,1123556,104,121,852163,131,149,814906,218,244,1285037,1012,1072,636737,1152,1318,317937,1453,1434,131069,1691,1595
KS,276668,48923,226895.00,211116.00,700250,18,26,476935,34,37,371605,47,59,331246,78,93,535053,379,377,272236,442,500,137573,547,583,65678,722,750
KY,375186,94410,415545.00,359047.00,1002871,46,28,713788,65,81,553681,110,133,549093,196,216,880890,818,882,447876,861,1033,220820,981,1132,81868,996,1073
LA,401591,86316,463179.00,416492.00,1087630,71,57,745828,89,118,632970,118,155,542194,188,211,883222,758,883,442534,876,1075,216431,947,1110,82057,967,1009
MA,526423,151245,608947.00,520871.00,1352799,33,24,1193244,70,67,932753,120,122,831850,150,180,1407593,688,775,673305,901,1055,336504,1283,1301,159523,1864,1908
MD,356541,73370,528301.00,470673.00,1334687,45,31,924743,88,70,815155,120,132,749963,164,176,1226685,667,795,561582,816,1018,278421,1029,1187,119393,1290,1484
ME,39959,14716,145786.00,118681.00,248842,14,NaN,187477,17,19,160399,27,26,157945,26,48,302917,196,175,169079,255,242,82386,300,295,33800,438,392
MI,655301,63562,1005544.00,921996.00,2143933,81,82,1642153,129,131,1211485,161,197,1178655,277,293,2041521,1365,1406,1037580,1658,1802,514685,1984,2063,213136,2582,2506
MN,462528,47226,546330.00,472105.00,1303157,45,33,876402,47,59,771660,71,102,665072,116,126,1100821,544,518,531059,688,676,266713,941,951,122610,1385,1282
MO,528477,77676,462202.00,383155.00,1370506,71,79,974452,106,94,792965,172,159,718659,226,262,1199938,948,988,610165,1177,1254,318341,1332,1447,133531,1567,1564
MS,279123,55370,238859.00,219189.00,698580,40,33,482199,59,75,371831,84,101,356990,128,131,565800,522,709,288955,571,803,145440,700,776,52298,625,668
MT,94070,12515,106145.00,85251.00,228588,12,15,167165,14,15,134453,14,18,119209,21,31,209365,135,134,124631,194,171,58951,219,235,22855,272,248
NC,784163,201526,975743.00,876796.00,2300691,105,83,1658593,159,206,1321108,216,240,1322397,313,397,2036727,1366,1607,1046508,1733,2128,515192,2087,2486,189394,2337,2539
ND,97798,4907,99481.00,80215.00,180170,NaN,NaN,138345,18,NaN,103251,16,12,79951,25,26,133325,93,84,66664,120,112,34368,146,128,18813,210,188
NE,191080,23246,180917.00,153430.00,476074,21,21,315685,22,17,253372,26,24,220941,43,48,349273,198,183,178908,256,264,90492,335,336,43058,487,442
NH,66058,22030,130515.00,104951.00,255253,NaN,NaN,210573,18,11,166319,20,23,161091,23,30,311306,145,140,152669,209,213,70954,257,267,30241,344,350
NJ,700346,166759,810293.00,718114.00,1938566,46,44,1328189,78,88,1149837,153,189,1141316,198,267,1839353,842,1193,832866,1079,1444,439565,1497,1808,203104,2340,2429
NM,174550,30408,275224.00,238918.00,475838,22,NaN,334664,31,55,270263,59,83,235720,66,102,391083,277,324,224483,309,386,111714,378,400,41409,450,439
NV,279146,52100,248754.00,219360.00,692639,17,26,473875,46,57,434843,64,76,394562,81,129,577438,410,483,303363,540,630,147793,580,742,44816,535,552
NY,1437135,429271,1927665.00,1699166.00,4028289,145,129,3212532,175,162,2666603,284,336,2353293,415,506,3871754,1993,2489,1859922,2397,3295,976223,3100,4072,460001,4691,5357
OH,899079,198699,1004624.00,885160.00,2578019,116,94,1858594,171,190,1473504,248,274,1385682,350,406,2338222,1717,1940,1189243,2074,2470,600805,2513,2878,256272,3178,3381
