State,Cases Cum,Cases Change,Vax Cum,Vax Change,Y19 pop: ages 0-17,Y20: ages 0-17,Y21: ages 0-17,Y19 pop: ages 18-29,Y20: ages 18-29,Y21: ages 18-29,Y19 pop: ages 30-39,Y20: ages 30-39,Y21: ages 30-39,Y19 pop: ages 40-49,Y20: ages 40-49,Y21: ages 40-49,Y19 pop: ages 50-64,Y20: ages 50-64,Y21: ages 50-64,Y19 pop: ages 65-74,Y20: ages 65-74,Y21: ages 65-74,Y19 pop: ages 75-84,Y20: ages 75-84,Y21: ages 75-84,Y19 pop: ages 85-plus,Y20: ages 85-plus,Y21: ages 85-plus
AK,68428,921,660235.00,47543.00,179983,NaN,NaN,116627,32,10,103905,25,10,84037,34,17,135974,82,51,61300,98,74,23107,87,61,7181,66,46
AL,553922,5506,3365396.00,343120.00,1088286,53,69,781985,105,105,608741,161,124,595691,245,266,964807,1115,931,501447,1265,1049,256847,1438,1149,91543,1335,1029
AR,350085,8635,2240617.00,159350.00,700155,35,29,481913,55,60,381765,93,93,359653,147,174,565174,575,643,302829,728,734,161141,716,779,59912,730,708
AZ,895347,13893,6768593.00,791927.00,1640226,74,79,1207963,207,170,942403,331,253,860579,392,290,1299286,1504,960,751699,1760,1203,411197,1997,1354,145737,2121,1413
CA,3873053,33634,42771685.00,4298956.00,8894449,275,247,6670575,626,595,5697826,857,830,5005537,1285,1081,7249639,4690,3860,3386670,5234,4369,1701599,6135,5169,749846,8263,7089
CO,558321,14740,6203544.00,580487.00,1259516,58,53,965867,127,100,867269,141,138,734178,184,182,1053553,605,636,522131,697,749,230360,806,897,89921,1009,948
CT,349387,1824,4414112.00,369492.00,727440,21,18,563396,62,54,440410,77,77,432122,110,95,764770,443,381,352819,425,418,186095,508,568,91330,908,837
DC,49362,362,865044.00,74353.00,128168,17,25,153472,17,26,144342,33,28,82716,38,31,105529,147,119,50219,120,110,24882,101,92,12242,92,105
DE,109770,877,1041382.00,97702.00,203572,12,11,145814,24,23,122108,35,18,110069,32,26,199875,128,128,112858,166,179,55794,244,167,20254,231,219
FL,2338797,54333,21113090.00,2291793.00,4229919,184,212,3124914,375,412,2694793,578,632,2596575,858,899,4266301,3757,3576,2465369,4640,4131,1450514,6145,5117,581454,7419,5939
GA,1135093,11013,8445684.00,835029.00,2503664,144,69,1745979,225,153,1414834,330,184,1379326,463,324,1993652,1806,1437,926001,1986,1692,439884,2197,1766,151069,2136,1640
HI,36435,1345,1680216.00,88020.00,299867,NaN,NaN,193859,15,19,181734,21,25,164618,37,48,262063,151,169,152092,214,184,74688,200,213,41668,338,327
IA,374009,2536,3039341.00,188452.00,726841,27,15,519211,45,27,393648,49,35,360764,93,66,599851,394,363,311447,509,501,162833,644,621,78674,939,841
ID,195089,2784,1325701.00,85926.00,448201,21,16,284181,30,36,231897,30,42,211310,65,60,317270,191,211,175866,264,289,85030,373,349,29774,398,366
IL,1392196,9609,13002032.00,1300563.00,2817739,118,108,2034826,232,228,1705429,253,278,1585079,385,384,2457804,1552,1540,1176033,1855,1834,600230,2167,2096,266969,2760,2646
IN,754317,10104,5600334.00,483064.00,1567974,79,57,1123556,161,118,852163,201,148,814906,270,237,1285037,1058,945,636737,1243,1161,317937,1418,1334,131069,1562,1504
KS,318310,3893,2491712.00,162863.00,700250,29,22,476935,48,58,371605,62,70,331246,88,114,535053,390,382,272236,497,474,137573,532,579,65678,712,663
KY,464784,5496,4002943.00,348344.00,1002871,37,31,713788,125,68,553681,162,99,549093,239,182,880890,855,797,447876,936,966,220820,1021,996,81868,1050,938
LA,482035,10372,3380221.00,288881.00,1087630,62,43,745828,116,53,632970,175,98,542194,262,180,883222,942,734,442534,1084,886,216431,1158,992,82057,1203,890
MA,710049,2918,8858362.00,791069.00,1352799,41,45,1193244,85,58,932753,129,149,831850,193,190,1407593,709,693,673305,840,867,336504,1089,1178,159523,1617,1599
MD,462439,2444,6891344.00,728215.00,1334687,34,46,924743,99,108,815155,162,151,749963,194,181,1226685,812,722,561582,929,815,278421,1033,932,119393,1295,1147
