State,Cases Cum,Cases Change,Vax Cum,Vax Change,Y19 pop: ages 0-17,Y20: ages 0-17,Y21: ages 0-17,Y19 pop: ages 18-29,Y20: ages 18-29,Y21: ages 18-29,Y19 pop: ages 30-39,Y20: ages 30-39,Y21: ages 30-39,Y19 pop: ages 40-49,Y20: ages 40-49,Y21: ages 40-49,Y19 pop: ages 50-64,Y20: ages 50-64,Y21: ages 50-64,Y19 pop: ages 65-74,Y20: ages 65-74,Y21: ages 65-74,Y19 pop: ages 75-84,Y20: ages 75-84,Y21: ages 75-84,Y19 pop: ages 85-plus,Y20: ages 85-plus,Y21: ages 85-plus
AK,67507,2009,612692.00,52030.00,179983,10,NaN,116627,18,14,103905,23,20,84037,17,11,135974,92,33,61300,73,38,23107,76,25,7181,61,27
AL,548416,8394,3022276.00,404871.00,1088286,57,77,781985,102,109,608741,154,147,595691,243,247,964807,954,865,501447,1040,1028,256847,1218,1112,91543,1133,1038
AR,341450,5482,2081267.00,277472.00,700155,48,42,481913,67,48,381765,97,100,359653,138,146,565174,554,551,302829,613,639,161141,726,678,59912,663,640
AZ,881454,17883,5976666.00,852854.00,1640226,71,64,1207963,199,190,942403,235,227,860579,298,293,1299286,1075,970,751699,1292,1225,411197,1655,1408,145737,1721,1355
CA,3839419,38810,38472729.00,7651894.00,8894449,250,288,6670575,561,597,5697826,743,834,5005537,990,1023,7249639,4041,3870,3386670,4431,4149,1701599,5468,5045,749846,7500,6727
CO,543581,30777,5623057.00,1116718.00,1259516,55,51,965867,105,113,867269,148,170,734178,177,178,1053553,599,613,522131,677,705,230360,808,806,89921,1024,942
CT,347563,7894,4044620.00,780294.00,727440,18,21,563396,48,42,440410,74,70,432122,96,76,764770,394,414,352819,453,443,186095,634,547,91330,903,862
DC,49000,1252,790691.00,181981.00,128168,14,23,153472,22,18,144342,26,16,82716,39,31,105529,147,136,50219,130,117,24882,101,79,12242,108,94
DE,108893,3351,943680.00,172385.00,203572,NaN,NaN,145814,17,18,122108,29,25,110069,33,30,199875,129,142,112858,169,185,55794,172,190,20254,246,186
FL,2284464,84670,18821297.00,3333192.00,4229919,186,189,3124914,394,378,2694793,537,582,2596575,720,787,4266301,2939,3070,2465369,3675,3691,1450514,4535,4764,581454,5813,5469
