State,Cases Cum,Cases Change,Vax Cum,Vax Change,Y19 pop: ages 0-17,Y20: ages 0-17,Y21: ages 0-17,Y19 pop: ages 18-29,Y20: ages 18-29,Y21: ages 18-29,Y19 pop: ages 30-39,Y20: ages 30-39,Y21: ages 30-39,Y19 pop: ages 40-49,Y20: ages 40-49,Y21: ages 40-49,Y19 pop: ages 50-64,Y20: ages 50-64,Y21: ages 50-64,Y19 pop: ages 65-74,Y20: ages 65-74,Y21: ages 65-74,Y19 pop: ages 75-84,Y20: ages 75-84,Y21: ages 75-84,Y19 pop: ages 85-plus,Y20: ages 85-plus,Y21: ages 85-plus
AK,56398,3571,268406.00,146386.00,179983,11,13,116627,17,19,103905,22,22,84037,12,21,135974,74,80,61300,73,85,23107,87,83,7181,60,77
AL,514523,28944,948393.00,590113.00,1088286,48,73,781985,88,99,608741,148,145,595691,213,238,964807,892,974,501447,1051,1127,256847,1165,1314,91543,1151,1083
AR,322509,26015,661572.00,350342.00,700155,39,45,481913,47,71,381765,81,84,359653,126,136,565174,511,636,302829,617,682,161141,722,698,59912,706,689
AZ,818446,55853,1849259.00,1228651.00,1640226,73,67,1207963,134,156,942403,161,203,860579,219,234,1299286,928,947,751699,1205,1286,411197,1589,1672,145737,1623,1588
CA,3652462,187278,9106077.00,5652793.00,8894449,274,255,6670575,465,596,5697826,600,811,5005537,899,1187,7249639,4037,4493,3386670,4707,5170,1701599,5893,6166,749846,8244,8037
CO,429839,32776,1412910.00,823123.00,1259516,47,59,965867,98,91,867269,112,173,734178,155,204,1053553,623,648,522131,759,736,230360,895,884,89921,1104,1075
CT,282626,28672,1031305.00,582052.00,727440,27,22,563396,42,44,440410,67,69,432122,89,108,764770,413,438,352819,480,506,186095,725,671,91330,1158,988
DC,40684,3676,198047.00,115528.00,128168,18,18,153472,18,21,144342,21,24,82716,27,45,105529,127,149,50219,121,147,24882,87,100,12242,121,100
DE,88847,8810,225374.00,122677.00,203572,NaN,NaN,145814,10,16,122108,18,31,110069,36,38,199875,131,150,112858,175,190,55794,227,230,20254,279,257
FL,1879842,176402,5047960.00,3042582.00,4229919,198,166,3124914,341,380,2694793,493,563,2596575,681,785,4266301,2933,3255,2465369,3827,4034,1450514,5054,5419,581454,6156,6018
GA,1008660,96181,2072628.00,1142111.00,2503664,112,99,1745979,163,190,1414834,241,246,1379326,352,416,1993652,1551,1618,926001,1759,1931,439884,1911,2003,151069,1925,1888
HI,27499,1629,389644.00,253808.00,299867,12,NaN,193859,NaN,17,181734,16,21,164618,32,37,262063,176,144,152092,199,211,74688,222,250,41668,359,392
IA,336647,16833,734845.00,477377.00,726841,20,25,519211,31,26,393648,56,41,360764,63,79,599851,392,350,311447,479,490,162833,668,657,78674,989,782
ID,171462,8297,404250.00,279873.00,448201,NaN,11,284181,24,24,231897,32,35,211310,46,38,317270,186,209,175866,263,283,85030,369,353,29774,398,399
IL,1187839,59226,2906555.00,1851741.00,2817739,106,98,2034826,159,199,1705429,225,228,1585079,356,385,2457804,1617,1570,1176033,1935,1895,600230,2451,2297,266969,3252,2766
IN,663151,34163,1615149.00,1007964.00,1567974,80,64,1123556,110,141,852163,144,172,814906,231,243,1285037,1038,1051,636737,1244,1286,317937,1587,1467,131069,1829,1481
KS,294302,17634,620939.00,394044.00,700250,25,29,476935,48,50,371605,63,71,331246,86,84,535053,346,398,272236,450,476,137573,544,557,65678,804,681
KY,412784,37598,1046835.00,631290.00,1002871,46,38,713788,76,101,553681,114,163,549093,206,247,880890,861,918,447876,939,1062,220820,1074,1108,81868,1007,997
LA,430504,28913,1076576.00,613397.00,1087630,54,53,745828,95,115,632970,131,178,542194,218,249,883222,932,904,442534,1008,948,216431,1133,1085,82057,1185,1004
MA,582543,56120,1803528.00,1194581.00,1352799,33,30,1193244,68,66,932753,129,132,831850,182,180,1407593,790,818,673305,951,992,336504,1382,1264,159523,2040,1753
MD,383170,26629,1364145.00,835844.00,1334687,42,49,924743,97,93,815155,140,180,749963,163,200,1226685,758,916,561582,897,981,278421,1100,1160,119393,1504,1376
ME,44945,4986,334009.00,188223.00,248842,NaN,NaN,187477,19,11,160399,34,36,157945,34,41,302917,190,189,169079,240,260,82386,341,319,33800,439,398
MI,690394,35093,2357259.00,1351715.00,2143933,89,72,1642153,134,158,1211485,211,226,1178655,352,351,2041521,1551,1455,1037580,1957,1882,514685,2414,2147,213136,2957,2598
MN,485230,22702,1429631.00,883301.00,1303157,43,35,876402,56,72,771660,107,122,665072,129,153,1100821,563,556,531059,691,732,266713,1004,940,122610,1459,1259
MO,551834,23357,1375027.00,912825.00,1370506,66,86,974452,126,127,792965,157,157,718659,226,260,1199938,990,1027,610165,1193,1292,318341,1474,1378,133531,1613,1524
MS,297145,18022,637116.00,398257.00,698580,39,48,482199,48,69,371831,85,94,356990,152,143,565800,590,621,288955,659,721,145440,687,726,52298,633,653
MT,100003,5933,284679.00,178534.00,228588,NaN,12,167165,23,20,134453,21,20,119209,31,38,209365,137,136,124631,199,184,58951,205,212,22855,326,262
NC,865814,81651,2525579.00,1549836.00,2300691,108,94,1658593,211,190,1321108,233,238,1322397,373,366,2036727,1416,1486,1046508,1859,1805,515192,2235,2031,189394,2407,1999
ND,99957,2159,238585.00,139104.00,180170,NaN,10,138345,11,15,103251,15,25,79951,29,34,133325,82,95,66664,109,107,34368,162,160,18813,227,196
