State,Cases Cum,Cases Change,Vax Cum,Vax Change,Y19 pop: ages 0-17,Y20: ages 0-17,Y21: ages 0-17,Y19 pop: ages 18-29,Y20: ages 18-29,Y21: ages 18-29,Y19 pop: ages 30-39,Y20: ages 30-39,Y21: ages 30-39,Y19 pop: ages 40-49,Y20: ages 40-49,Y21: ages 40-49,Y19 pop: ages 50-64,Y20: ages 50-64,Y21: ages 50-64,Y19 pop: ages 65-74,Y20: ages 65-74,Y21: ages 65-74,Y19 pop: ages 75-84,Y20: ages 75-84,Y21: ages 75-84,Y19 pop: ages 85-plus,Y20: ages 85-plus,Y21: ages 85-plus
AK,65498,4730,560662.00,149133.00,179983,NaN,NaN,116627,19,13,103905,24,18,84037,25,16,135974,86,48,61300,84,49,23107,70,42,7181,73,30
AL,540022,12201,2617405.00,845426.00,1088286,72,65,781985,113,112,608741,176,163,595691,234,238,964807,978,929,501447,1083,1135,256847,1243,1161,91543,1209,1069
AR,335968,5359,1803795.00,593830.00,700155,39,40,481913,61,66,381765,90,102,359653,137,169,565174,482,544,302829,642,645,161141,650,738,59912,664,669
AZ,863571,20754,5123812.00,1611233.00,1640226,77,75,1207963,167,163,942403,211,253,860579,245,292,1299286,920,944,751699,1164,1198,411197,1498,1393,145737,1647,1462
CA,3800609,65766,30820835.00,12216671.00,8894449,246,293,6670575,517,570,5697826,703,743,5005537,1047,1067,7249639,3997,4003,3386670,4719,4536,1701599,5605,5164,749846,8101,7014
CO,512804,49119,4506339.00,1760309.00,1259516,65,53,965867,102,117,867269,150,170,734178,173,175,1053553,614,598,522131,739,807,230360,900,822,89921,1118,986
CT,339669,27201,3264326.00,1271427.00,727440,12,12,563396,40,46,440410,68,72,432122,104,113,764770,530,411,352819,661,509,186095,977,599,91330,1634,882
DC,47748,3092,608710.00,227365.00,128168,19,15,153472,25,22,144342,25,28,82716,39,26,105529,180,116,50219,206,134,24882,149,95,12242,189,110
DE,105542,9256,771295.00,297383.00,203572,10,11,145814,23,16,122108,30,24,110069,36,36,199875,177,149,112858,210,189,55794,255,238,20254,361,211
FL,2199794,168801,15488105.00,5706366.00,4229919,190,205,3124914,349,369,2694793,557,647,2596575,699,803,4266301,3053,3260,2465369,3598,3923,1450514,4737,5079,581454,5914,5755
GA,1101487,40514,6386954.00,2436309.00,2503664,97,100,1745979,177,217,1414834,265,280,1379326,411,395,1993652,1566,1629,926001,1845,1700,439884,2011,1884,151069,2107,1717
